team,rebounds,assists,steals,blocks,points,games_played,moves,date
French Fries,1301,735,202,193,3327,184,10,2018-11-18
New New York Atomic Supermen,1315,802,218,169,2827,174,10,2018-11-18
Chicago Mac Attack,1239,664,191,146,3124,173,9,2018-11-18
Crimetown Chum Bloods,1194,718,183,139,3117,168,24,2018-11-18
Paul George Michael Bluth,1166,652,188,137,3544,173,4,2018-11-18
Team Steege,1186,647,174,103,2801,157,0,2018-11-18
