pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,@Det,L 115-120,38,13,3,1,0,24,4.36,97.8,-1.4,1,93,2019-01-16
G,Eric BledsoeMilPG,@Mem,W 111-101,25,2,4,3,0,16,3.63,96.5,0.0,1,93,2019-01-16
G,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,93,2019-01-16
G,"D'Angelo RussellBknPG, SG",@Hou,W 145-142,28,3,7,1,0,10,6.30,98.6,+0.2,1,93,2019-01-16
F,"Giannis AntetokounmpoMilPF, SF",@Mem,W 111-101,22,11,3,1,2,27,4.84,99.8,-0.1,1,93,2019-01-16
F,"Serge IbakaOKCPF, C",,,34,10,0,0,0,22,3.34,85.3,-3.2,1,93,2019-01-16
F,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,93,2019-01-16
UTIL,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,93,2019-01-16
UTIL,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,93,2019-01-16
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,93,2019-01-16
Bench,Ricky RubioOUtahPG,@LAC,W 129-109,,,,,,,-0.97,80.4,-4.9,1,93,2019-01-16
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,93,2019-01-16
Bench,DeMarcus CousinsGSC,NO,W 147-140,,,,,,,8.77,90.4,-3.7,1,93,2019-01-16
C,Andre DrummondDetC,Orl,W 120-115,38,22,1,0,1,14,18.90,99.7,0.0,2,93,2019-01-16
G,Stephen CurryGSPG,NO,W 147-140,35,5,3,1,0,41,8.07,99.8,-0.1,2,93,2019-01-16
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,93,2019-01-16
G,Klay ThompsonGSSG,NO,W 147-140,36,7,3,1,0,19,1.34,97.9,-1.5,2,93,2019-01-16
F,"Kevin DurantGSSF, PF",NO,W 147-140,38,15,4,2,1,30,7.33,99.9,0.0,2,93,2019-01-16
F,"Luka DoncicDalSG, PF",SA,L 101-105,36,8,8,1,0,25,0.92,98.5,-0.2,2,93,2019-01-16
F,"Montrezl HarrellLACC, PF",Utah,L 109-129,26,7,2,3,1,11,3.59,89.7,-1.4,2,93,2019-01-16
UTIL,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,93,2019-01-16
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,93,2019-01-16
UTIL,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,93,2019-01-16
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,93,2019-01-16
Bench,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,93,2019-01-16
Bench,Robert CovingtonOMinSF,,,,,,,,,,25.4,-1.4,2,93,2019-01-16
C,Rudy GobertDTDUtahC,@LAC,W 129-109,34,22,1,1,4,23,11.36,97.7,-1.2,3,93,2019-01-16
G,Chris PaulHouPG,Bkn,L 142-145,,,,,,,7.78,97.8,-1.2,3,93,2019-01-16
G,"Khris MiddletonMilSF, SG",@Mem,W 111-101,27,6,5,1,0,11,1.81,98.9,+0.5,3,93,2019-01-16
G,Mike ConleyOMemPG,Mil,L 101-111,23,2,3,1,0,14,-2.26,87.3,-9.2,3,93,2019-01-16
F,"LaMarcus AldridgeSAPF, C",@Dal,W 105-101,23,4,1,1,3,8,6.85,99.7,-0.1,3,93,2019-01-16
F,"Draymond GreenDTDGSPF, C",NO,W 147-140,36,6,14,1,1,17,10.19,95.3,-1.2,3,93,2019-01-16
F,"Josh RichardsonOMiaSF, SG",,,,,,,,,-4.30,65.7,-4.6,3,93,2019-01-16
UTIL,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,93,2019-01-16
UTIL,Aaron GordonOrlPF,@Det,L 115-120,37,8,2,1,0,12,5.90,95.8,+0.1,3,93,2019-01-16
UTIL,Brook LopezMilC,@Mem,W 111-101,25,4,1,0,2,9,4.02,64.2,-4.3,3,93,2019-01-16
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,93,2019-01-16
Bench,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,93,2019-01-16
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,3,93,2019-01-16
C,Jusuf NurkicOPorC,Cle,W 129-112,28,10,10,0,5,10,,65.9,-1.1,4,93,2019-01-16
G,"James HardenHouSG, PG",Bkn,L 142-145,45,10,6,1,1,58,9.59,99.8,-0.1,4,93,2019-01-16
G,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,93,2019-01-16
G,Kyle LowryTorPG,@Bos,L 108-117,34,6,7,1,1,10,4.23,97.1,-1.6,4,93,2019-01-16
F,"DeMar DeRozanSASG, SF",@Dal,W 105-101,40,4,9,1,0,14,5.87,99.7,-0.1,4,93,2019-01-16
F,"Jayson TatumBosSF, PF",Tor,W 117-108,31,10,2,0,1,16,1.38,93.8,-4.2,4,93,2019-01-16
F,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,4,93,2019-01-16
UTIL,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,93,2019-01-16
UTIL,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,93,2019-01-16
UTIL,Jarrett AllenBknC,@Hou,W 145-142,43,24,2,0,3,20,2.16,81.5,+1.5,4,93,2019-01-16
Bench,Jeff TeagueOMinPG,,,,,,,,,,56.1,-0.5,4,93,2019-01-16
Bench,"Domantas SabonisIndPF, C",,,,,,,,,3.36,91.8,-1.5,4,93,2019-01-16
Bench,Zach LaVineOChiSG,,,,,,,,,,80.6,-4.6,4,93,2019-01-16
C,"Anthony DavisONOPF, C",@GS,L 140-147,41,18,7,1,3,30,-5.20,91.0,-6.3,5,93,2019-01-16
G,Damian LillardPorPG,Cle,W 129-112,32,2,6,0,0,33,7.24,99.8,-0.1,5,93,2019-01-16
G,Kyrie IrvingBosPG,Tor,W 117-108,38,5,18,1,1,27,2.31,96.0,-3.5,5,93,2019-01-16
G,"Donovan MitchellDTDUtahSG, PG",@LAC,W 129-109,35,2,6,3,0,28,6.01,98.5,-0.5,5,93,2019-01-16
F,Kawhi LeonardSASF,@Dal,W 105-101,36,4,2,4,0,33,1.20,98.8,-0.6,5,93,2019-01-16
F,Harrison BarnesSacPF,,,35,8,3,0,0,11,0.36,84.9,-0.7,5,93,2019-01-16
F,"Danilo GallinariLACSF, PF",Utah,L 109-129,34,4,1,0,0,9,2.41,92.5,-3.1,5,93,2019-01-16
UTIL,Hassan WhitesideMiaC,,,,,,,,,4.61,91.6,+1.7,5,93,2019-01-16
UTIL,Marc GasolTorC,@Bos,L 108-117,25,4,5,0,0,14,3.00,94.0,-1.5,5,93,2019-01-16
UTIL,Willie Cauley-SteinSacC,,,,,,,,,2.06,87.7,-1.8,5,93,2019-01-16
Bench,Clint CapelaDTDHouC,Bkn,L 142-145,,,,,,,7.18,96.8,-2.1,5,93,2019-01-16
Bench,"Kyle KuzmaOLALPF, SF",,,,,,,,,-3.39,84.4,-7.3,5,93,2019-01-16
Bench,Trae YoungAtlPG,,,,,,,,,6.33,97.0,-0.6,5,93,2019-01-16
C,Enes KanterPorC,Cle,W 129-112,,,,,,,6.60,92.0,+2.7,6,93,2019-01-16
G,"Jimmy ButlerPhiSG, SF",,,,,,,,,-0.19,97.7,-1.7,6,93,2019-01-16
G,CJ McCollumPorSG,Cle,W 129-112,29,3,1,0,0,19,-3.19,89.1,+4.0,6,93,2019-01-16
G,"Jamal MurrayDenPG, SG",,,,,,,,,7.01,95.6,-0.1,6,93,2019-01-16
F,"LeBron JamesOCleSF, PF",@Por,L 112-129,,,,,,,-3.82,85.5,-2.8,6,93,2019-01-16
F,"Ben SimmonsDTDPhiPG, SF",,,,,,,,,8.18,98.4,-1.4,6,93,2019-01-16
F,Blake GriffinDTDDetPF,Orl,W 120-115,40,4,5,0,2,30,0.18,97.2,-1.3,6,93,2019-01-16
UTIL,DeAndre JordanLACC,Utah,L 109-129,30,9,1,1,2,9,-4.50,86.6,-3.8,6,93,2019-01-16
UTIL,"Andrew WigginsMinSF, SG",,,,,,,,,5.65,92.1,+1.6,6,93,2019-01-16
UTIL,"Nicolas BatumChaSG, SF",,,,,,,,,-2.03,64.4,+0.4,6,93,2019-01-16
Bench,"Jrue HolidayONOPG, SG",@GS,L 140-147,41,6,7,1,1,25,,75.9,-1.0,6,93,2019-01-16
Bench,"Julius RandleNOPF, C",@GS,L 140-147,22,7,3,0,0,23,1.38,95.3,-3.6,6,93,2019-01-16
Bench,"Tobias HarrisPhiPF, SF",,,32,6,3,2,0,17,2.47,97.4,-2.0,6,93,2019-01-16
