pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
C,Nikola JokicDenC,,,,,,,,,9.34,99.7,-0.1,1,26,2018-11-10
G,John WallWshPG,@Mia,W 116-110,41,2,9,1,1,28,8.61,99.4,-0.1,1,26,2018-11-10
G,Ricky RubioUtahPG,,,,,,,,,6.79,88.5,+0.7,1,26,2018-11-10
G,Eric BledsoeMilPG,@LAC,L 126-128,34,5,5,2,1,15,6.40,84.2,-0.3,1,26,2018-11-10
F,"Giannis AntetokounmpoMilPF, SF",@LAC,L 126-128,41,18,4,5,2,27,12.01,100.0,0.0,1,26,2018-11-10
F,Nikola MiroticNoPF,Phx,W 119-99,,,,,,,5.31,79.0,-0.7,1,26,2018-11-10
F,"Wendell Carter Jr.ChiPF, C",Cle,W 99-98,25,5,1,0,3,15,2.30,69.8,-2.1,1,26,2018-11-10
UTIL,Nikola VucevicOrlC,,,,,,,,,8.67,89.2,+1.1,1,26,2018-11-10
UTIL,"Serge IbakaTorPF, C",NY,W 128-112,26,8,1,0,0,12,4.84,64.8,-6.7,1,26,2018-11-10
UTIL,JaVale McGeeLALC,@Sac,W 101-86,23,8,0,1,2,10,5.51,34.3,-6.6,1,26,2018-11-10
Bench,"Draymond GreenOGSPF, C",Bkn,W 116-100,,,,,,,-3.77,94.6,-2.4,1,26,2018-11-10
Bench,Lonzo BallDTDLALPG,@Sac,W 101-86,20,3,4,1,0,4,2.53,87.9,+2.1,1,26,2018-11-10
Bench,John CollinsAtlPF,,,,,,,,,0.82,88.4,+3.9,1,26,2018-11-10
C,Andre DrummondDetC,,,,,,,,,7.92,99.6,0.0,2,26,2018-11-10
G,"Devin BookerDTDPhxSG, PG",@No,L 99-119,35,1,7,2,0,12,7.07,99.3,+0.4,2,26,2018-11-10
G,Klay ThompsonGSSG,Bkn,W 116-100,29,1,1,2,1,24,5.40,96.0,-0.1,2,26,2018-11-10
G,"Luka DoncicDalSG, PF",OKC,W 111-96,31,6,8,1,0,22,2.90,94.5,-0.6,2,26,2018-11-10
F,"Kevin DurantGSSF, PF",Bkn,W 116-100,30,5,11,2,1,28,12.56,99.9,0.0,2,26,2018-11-10
F,Paul GeorgeOKCSF,@Dal,L 96-111,38,13,6,2,0,20,8.26,99.7,-0.1,2,26,2018-11-10
F,Empty,,,,,,,,,,,,2,26,2018-11-10
UTIL,Deandre AytonPhxC,@No,L 99-119,30,12,1,1,0,20,4.69,96.0,+0.5,2,26,2018-11-10
UTIL,Dwight HowardOWshC,@Mia,W 116-110,33,16,0,1,0,11,-2.02,84.4,-5.5,2,26,2018-11-10
UTIL,Myles TurnerIndC,,,,,,,,,6.93,74.3,+0.2,2,26,2018-11-10
Bench,Stephen CurryOGSPG,Bkn,W 116-100,,,,,,,-3.95,99.8,-0.1,2,26,2018-11-10
Bench,Kemba WalkerChaPG,,,,,,,,,8.31,99.7,0.0,2,26,2018-11-10
Bench,Gary HarrisDTDDenSG,,,,,,,,,2.84,63.5,-7.1,2,26,2018-11-10
Bench,Robert CovingtonMinSF,,,,,,,,,6.92,26.2,-4.8,2,26,2018-11-10
C,Karl-Anthony TownsMinC,,,,,,,,,6.41,99.8,-0.1,3,26,2018-11-10
G,Chris PaulOHouPG,@SA,L 89-96,40,4,4,3,1,13,3.19,98.6,-1.0,3,26,2018-11-10
G,Bradley BealWshSG,@Mia,W 116-110,28,3,1,1,1,18,6.10,99.0,0.0,3,26,2018-11-10
G,De'Aaron FoxSacPG,LAL,L 86-101,39,7,2,2,1,21,3.79,84.9,-2.9,3,26,2018-11-10
F,"LaMarcus AldridgeSAPF, C",Hou,W 96-89,36,10,1,0,1,27,7.62,99.3,-0.2,3,26,2018-11-10
F,Khris MiddletonMilSF,@LAC,L 126-128,29,3,5,1,0,14,4.81,98.7,-0.3,3,26,2018-11-10
F,"Kyle KuzmaLALPF, SF",@Sac,W 101-86,31,3,3,2,0,11,1.98,84.6,-0.7,3,26,2018-11-10
UTIL,Rudy GobertUtahC,,,,,,,,,6.96,95.7,-1.4,3,26,2018-11-10
UTIL,Zach LaVineChiSG,Cle,W 99-98,39,8,5,2,0,24,3.49,91.0,-0.2,3,26,2018-11-10
UTIL,Aaron GordonDTDOrlPF,,,,,,,,,4.69,83.4,-2.2,3,26,2018-11-10
Bench,Russell WestbrookOKCPG,@Dal,L 96-111,,,,,,,4.52,99.8,-0.1,3,26,2018-11-10
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,4.97,92.0,-0.7,3,26,2018-11-10
Bench,Mike ConleyMemPG,Phi,W 112-106,42,4,6,2,1,32,7.96,92.1,+1.4,3,26,2018-11-10
C,Joel EmbiidPhiC,@Mem,L 106-112,39,16,5,1,1,14,10.31,99.9,0.0,4,26,2018-11-10
G,"James HardenHouSG, PG",@SA,L 89-96,39,6,3,2,2,25,11.34,99.9,0.0,4,26,2018-11-10
G,Victor OladipoOIndSG,,,,,,,,,-3.43,98.3,-1.1,4,26,2018-11-10
G,Kyle LowryTorPG,NY,W 128-112,27,2,8,0,0,10,6.80,99.6,0.0,4,26,2018-11-10
F,"DeMar DeRozanSASG, SF",Hou,W 96-89,39,11,3,0,0,13,6.70,99.6,-0.2,4,26,2018-11-10
F,"Jayson TatumBosSF, PF",,,,,,,,,4.89,98.5,0.0,4,26,2018-11-10
F,"Caris LeVertOBknSF, SG",@GS,L 100-116,21,2,0,0,0,4,-3.91,7.1,-2.7,4,26,2018-11-10
UTIL,Steven AdamsOKCC,@Dal,L 96-111,37,13,2,0,0,20,3.89,80.6,-0.3,4,26,2018-11-10
UTIL,Jarrett AllenBknC,@GS,L 100-116,23,7,1,2,0,6,2.46,65.0,+0.3,4,26,2018-11-10
UTIL,Jusuf NurkicPorC,,,,,,,,,6.69,75.6,-2.3,4,26,2018-11-10
Bench,"Tim Hardaway Jr.NYSG, SF",@Tor,L 112-128,32,4,2,1,0,27,4.32,79.7,-1.3,4,26,2018-11-10
Bench,"Josh RichardsonMiaSF, SG",Wsh,L 110-116,36,3,5,1,0,24,4.88,69.6,+0.1,4,26,2018-11-10
Bench,"Kevin LoveOClePF, C",@Chi,L 98-99,,,,,,,-3.41,88.9,+0.5,4,26,2018-11-10
C,Clint CapelaHouC,@SA,L 89-96,33,17,1,0,2,12,10.13,98.3,+0.1,5,26,2018-11-10
G,Donovan MitchellUtahSG,,,,,,,,,3.04,97.8,-1.1,5,26,2018-11-10
G,Trae YoungAtlPG,,,,,,,,,5.40,82.1,-3.2,5,26,2018-11-10
G,Lou WilliamsLACSG,Mil,W 128-126,33,5,10,1,0,12,0.83,94.0,-0.6,5,26,2018-11-10
F,"Anthony DavisNoPF, C",Phx,W 119-99,36,13,6,1,2,26,14.17,99.9,0.0,5,26,2018-11-10
F,Kawhi LeonardTorSF,NY,W 128-112,23,7,3,1,0,12,6.45,99.7,-0.1,5,26,2018-11-10
F,Empty,,,,,,,,,,,,5,26,2018-11-10
UTIL,Hassan WhitesideMiaC,Wsh,L 110-116,35,14,3,1,4,15,7.64,83.7,-2.9,5,26,2018-11-10
UTIL,Goran DragicOMiaPG,Wsh,L 110-116,21,2,3,1,0,0,-3.11,84.6,-2.1,5,26,2018-11-10
UTIL,Marc GasolDTDMemC,Phi,W 112-106,41,12,6,2,0,18,12.21,97.3,+0.4,5,26,2018-11-10
Bench,Damian LillardPorPG,,,,,,,,,6.72,99.8,-0.1,5,26,2018-11-10
Bench,Kyrie IrvingBosPG,,,,,,,,,11.53,99.5,-0.2,5,26,2018-11-10
Bench,Al HorfordBosC,,,,,,,,,6.15,85.6,-0.3,5,26,2018-11-10
Bench,Joe InglesUtahSF,,,,,,,,,4.52,42.7,-6.5,5,26,2018-11-10
C,Enes KanterNYC,@Tor,L 112-128,20,15,2,0,0,15,6.33,88.9,+0.3,6,26,2018-11-10
G,"Jimmy ButlerPhiSG, SF",@Mem,L 106-112,,,,,,,6.24,99.7,0.0,6,26,2018-11-10
G,CJ McCollumPorSG,,,,,,,,,2.48,98.3,-0.4,6,26,2018-11-10
G,Jamal MurrayDenPG,,,,,,,,,5.79,83.5,-1.0,6,26,2018-11-10
F,"LeBron JamesLALSF, PF",@Sac,W 101-86,31,7,2,1,0,25,9.90,99.9,-0.1,6,26,2018-11-10
F,"Ben SimmonsPhiPG, SF",@Mem,L 106-112,38,14,5,0,1,18,8.64,99.6,-0.1,6,26,2018-11-10
F,Blake GriffinDetPF,,,,,,,,,5.20,99.4,-0.1,6,26,2018-11-10
UTIL,DeAndre JordanDalC,OKC,W 111-96,28,9,1,0,1,6,2.18,97.9,-0.3,6,26,2018-11-10
UTIL,"Andrew WigginsMinSF, SG",,,,,,,,,2.99,83.3,-4.5,6,26,2018-11-10
UTIL,"Nicolas BatumChaSG, SF",,,,,,,,,0.76,66.9,+0.8,6,26,2018-11-10
Bench,"Jrue HolidayNoPG, SG",Phx,W 119-99,36,6,9,3,1,19,11.51,99.0,-0.1,6,26,2018-11-10
Bench,"Julius RandleNoPF, C",Phx,W 119-99,38,15,3,0,2,22,6.66,97.2,+1.0,6,26,2018-11-10
Bench,Tobias HarrisLACPF,Mil,W 128-126,37,11,1,2,1,20,3.08,94.5,+0.4,6,26,2018-11-10
