pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,152,2019-03-16
G,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,152,2019-03-16
G,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,152,2019-03-16
G,Empty,,,,,,,,,,,,1,152,2019-03-16
F,PJ TuckerHouSF,,,,,,,,,0.81,6.4,-1.6,1,152,2019-03-16
F,Otto Porter Jr.OChiSF,,,,,,,,,,67.8,-1.7,1,152,2019-03-16
F,Empty,,,,,,,,,,,,1,152,2019-03-16
UTIL,DeMarcus CousinsGSC,@OKC,W 110-88,27,8,6,2,2,12,8.77,90.4,-3.7,1,152,2019-03-16
UTIL,Kelly Oubre Jr.OPhxSF,@NO,W 138-136,43,6,2,2,0,32,,18.0,-2.7,1,152,2019-03-16
UTIL,"Derrick FavorsUtahPF, C",Bkn,W 114-98,22,12,1,0,3,13,-2.56,71.6,-4.8,1,152,2019-03-16
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,152,2019-03-16
Bench,"Nikola JokicDenC, PF",Ind,W 102-100,34,7,5,0,0,26,10.34,99.9,0.0,1,152,2019-03-16
Bench,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,152,2019-03-16
Bench,"D'Angelo RussellBknPG, SG",@Utah,L 98-114,25,5,4,1,0,20,6.30,98.6,+0.2,1,152,2019-03-16
Bench,Clint CapelaDTDHouC,,,,,,,,,7.18,96.8,-2.1,1,152,2019-03-16
Bench,"Jonathan IsaacOrlPF, SF",,,,,,,,,2.45,12.7,-5.0,1,152,2019-03-16
C,Empty,,,,,,,,,,,,2,152,2019-03-16
G,Empty,,,,,,,,,,,,2,152,2019-03-16
G,Empty,,,,,,,,,,,,2,152,2019-03-16
G,Empty,,,,,,,,,,,,2,152,2019-03-16
F,Empty,,,,,,,,,,,,2,152,2019-03-16
F,Empty,,,,,,,,,,,,2,152,2019-03-16
F,Empty,,,,,,,,,,,,2,152,2019-03-16
UTIL,Paul GeorgeDTDOKCSF,GS,L 88-110,38,13,2,1,0,29,8.72,99.8,-0.1,2,152,2019-03-16
UTIL,Myles TurnerIndC,@Den,L 100-102,36,5,2,2,1,15,6.53,88.1,-3.3,2,152,2019-03-16
UTIL,Paul MillsapDenPF,Ind,W 102-100,34,13,3,0,1,15,2.58,88.4,-2.0,2,152,2019-03-16
Bench,"Kevin DurantGSSF, PF",@OKC,W 110-88,,,,,,,7.33,99.9,0.0,2,152,2019-03-16
Bench,Stephen CurryGSPG,@OKC,W 110-88,33,7,3,2,0,33,8.07,99.8,-0.1,2,152,2019-03-16
Bench,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,152,2019-03-16
Bench,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,152,2019-03-16
Bench,"Luka DoncicDalSG, PF",Cle,W 121-116,,,,,,,0.92,98.5,-0.2,2,152,2019-03-16
Bench,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,152,2019-03-16
Bench,Pascal SiakamTorPF,,,,,,,,,1.39,91.4,-3.7,2,152,2019-03-16
Bench,Mitchell RobinsonNYC,,,,,,,,,10.35,45.8,+8.7,2,152,2019-03-16
Bench,"Thaddeus YoungIndPF, SF",@Den,L 100-102,34,10,1,0,0,18,2.59,69.4,-3.6,2,152,2019-03-16
Bench,"Montrezl HarrellLACC, PF",,,,,,,,,3.59,89.7,-1.4,2,152,2019-03-16
