pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,144,2019-03-08
G,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,144,2019-03-08
G,Kris DunnOChiPG,Det,L 104-112,28,7,3,2,1,7,-5.20,50.8,-1.1,1,144,2019-03-08
G,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,1,144,2019-03-08
F,"Nikola JokicDenC, PF",@GS,L 105-122,29,6,4,4,1,16,10.34,99.9,0.0,1,144,2019-03-08
F,PJ TuckerHouSF,Phi,W 107-91,30,3,1,3,0,3,0.81,6.4,-1.6,1,144,2019-03-08
F,"Jonathan IsaacOrlPF, SF",Dal,W 111-106,31,9,1,1,1,14,2.45,12.7,-5.0,1,144,2019-03-08
UTIL,Nikola VucevicOrlC,Dal,W 111-106,35,13,6,2,1,20,4.36,97.8,-1.4,1,144,2019-03-08
UTIL,DeMarcus CousinsGSC,Den,W 122-105,28,6,6,3,6,13,8.77,90.4,-3.7,1,144,2019-03-08
UTIL,Clint CapelaDTDHouC,Phi,W 107-91,29,9,0,4,0,18,7.18,96.8,-2.1,1,144,2019-03-08
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,144,2019-03-08
Bench,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,144,2019-03-08
Bench,"Jerami GrantOKCSF, PF",@LAC,L 110-118,30,4,1,0,0,12,4.03,71.8,+1.9,1,144,2019-03-08
Bench,Kelly Oubre Jr.OPhxSF,,,,,,,,,,18.0,-2.7,1,144,2019-03-08
C,Empty,,,,,,,,,,,,2,144,2019-03-08
G,Stephen CurryGSPG,Den,W 122-105,34,7,4,0,0,17,8.07,99.8,-0.1,2,144,2019-03-08
G,Kemba WalkerFAPG,,,36,4,6,2,1,18,7.08,99.9,0.0,2,144,2019-03-08
G,"Luka DoncicDalSG, PF",@Orl,L 106-111,33,8,5,1,0,24,0.92,98.5,-0.2,2,144,2019-03-08
F,"Kevin DurantGSSF, PF",Den,W 122-105,36,4,6,0,2,26,7.33,99.9,0.0,2,144,2019-03-08
F,Pascal SiakamTorPF,@NO,W 127-104,29,5,4,1,2,19,1.39,91.4,-3.7,2,144,2019-03-08
F,Paul MillsapDenPF,@GS,L 105-122,16,4,1,0,0,9,2.58,88.4,-2.0,2,144,2019-03-08
UTIL,Andre DrummondDetC,@Chi,W 112-104,43,24,2,2,2,20,18.90,99.7,0.0,2,144,2019-03-08
UTIL,Paul GeorgeDTDOKCSF,@LAC,L 110-118,28,6,1,0,0,15,8.72,99.8,-0.1,2,144,2019-03-08
UTIL,"Montrezl HarrellLACC, PF",OKC,W 118-110,25,6,2,0,1,8,3.59,89.7,-1.4,2,144,2019-03-08
Bench,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,144,2019-03-08
Bench,Lauri MarkkanenChiPF,Det,L 104-112,36,6,2,1,0,18,,69.4,-1.4,2,144,2019-03-08
Bench,Mitchell RobinsonNYC,,,,,,,,,10.35,45.8,+8.7,2,144,2019-03-08
Bench,"Thaddeus YoungIndPF, SF",,,,,,,,,2.59,69.4,-3.6,2,144,2019-03-08
C,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,144,2019-03-08
G,Russell WestbrookOKCPG,@LAC,L 110-118,32,8,7,0,1,32,15.16,99.9,0.0,3,144,2019-03-08
G,Chris PaulHouPG,Phi,W 107-91,28,3,8,2,0,4,7.78,97.8,-1.2,3,144,2019-03-08
G,Bradley BealWshSG,@Cha,L 111-112,41,4,7,5,1,15,4.70,98.1,-1.7,3,144,2019-03-08
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,144,2019-03-08
F,"Draymond GreenDTDGSPF, C",Den,W 122-105,36,10,5,2,0,4,10.19,95.3,-1.2,3,144,2019-03-08
F,"Josh RichardsonOMiaSF, SG",Cle,W 126-110,35,2,5,1,0,20,-4.30,65.7,-4.6,3,144,2019-03-08
UTIL,Rudy GobertDTDUtahC,@Mem,L 104-114,33,7,1,1,5,9,11.36,97.7,-1.2,3,144,2019-03-08
UTIL,Mike ConleyOMemPG,Utah,W 114-104,32,3,11,2,0,28,-2.26,87.3,-9.2,3,144,2019-03-08
UTIL,Aaron GordonOrlPF,Dal,W 111-106,32,6,3,0,3,18,5.90,95.8,+0.1,3,144,2019-03-08
Bench,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,144,2019-03-08
Bench,Buddy HieldSacSG,,,,,,,,,4.12,95.9,-0.5,3,144,2019-03-08
Bench,Al HorfordDTDBosC,,,,,,,,,3.25,89.6,-3.4,3,144,2019-03-08
C,Empty,,,,,,,,,,,,4,144,2019-03-08
G,"James HardenHouSG, PG",Phi,W 107-91,32,10,7,2,0,31,9.59,99.8,-0.1,4,144,2019-03-08
G,Kyle LowryTorPG,@NO,W 127-104,34,11,12,2,0,13,4.23,97.1,-1.6,4,144,2019-03-08
G,Klay ThompsonGSSG,Den,W 122-105,35,3,4,2,1,39,1.34,97.9,-1.5,4,144,2019-03-08
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,144,2019-03-08
F,"Justise WinslowMiaSF, PG",Cle,W 126-110,35,9,9,1,0,16,1.09,24.4,+2.4,4,144,2019-03-08
F,"Danilo GallinariLACSF, PF",OKC,W 118-110,34,6,2,0,0,34,2.41,92.5,-3.1,4,144,2019-03-08
UTIL,Joel EmbiidDTDPhiC,@Hou,L 91-107,,,,,,,3.83,99.7,0.0,4,144,2019-03-08
UTIL,Steven AdamsFAC,,,32,10,3,0,0,6,6.44,95.7,+0.3,4,144,2019-03-08
UTIL,Lou WilliamsLACSG,OKC,W 118-110,34,7,5,4,0,40,2.44,95.9,-0.9,4,144,2019-03-08
Bench,"DeMar DeRozanSASG, SF",,,,,,,,,5.87,99.7,-0.1,4,144,2019-03-08
Bench,Jusuf NurkicOPorC,,,,,,,,,,65.9,-1.1,4,144,2019-03-08
Bench,"Domantas SabonisIndPF, C",,,,,,,,,3.36,91.8,-1.5,4,144,2019-03-08
Bench,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,4,144,2019-03-08
C,Marc GasolTorC,@NO,W 127-104,19,9,1,0,2,4,3.00,94.0,-1.5,5,144,2019-03-08
G,Kyrie IrvingBosPG,,,,,,,,,2.31,96.0,-3.5,5,144,2019-03-08
G,"Donovan MitchellDTDUtahSG, PG",@Mem,L 104-114,39,4,5,0,1,38,6.01,98.5,-0.5,5,144,2019-03-08
G,Zach LaVineOChiSG,Det,L 104-112,38,6,2,1,1,24,,80.6,-4.6,5,144,2019-03-08
F,"Anthony DavisONOPF, C",Tor,L 104-127,,,,,,,-5.20,91.0,-6.3,5,144,2019-03-08
F,"Kevin LoveClePF, C",@Mia,L 110-126,31,4,3,1,0,19,-3.61,82.2,-9.3,5,144,2019-03-08
F,"Mikal BridgesPhxSF, SG",,,,,,,,,2.53,5.0,-1.3,5,144,2019-03-08
UTIL,Kawhi LeonardTorSF,@NO,W 127-104,27,1,2,2,0,31,1.20,98.8,-0.6,5,144,2019-03-08
UTIL,Hassan WhitesideMiaC,Cle,W 126-110,23,11,0,0,0,11,4.61,91.6,+1.7,5,144,2019-03-08
UTIL,"Serge IbakaTorPF, C",@NO,W 127-104,25,11,1,1,5,12,3.34,85.3,-3.2,5,144,2019-03-08
Bench,Damian LillardPorPG,,,,,,,,,7.24,99.8,-0.1,5,144,2019-03-08
Bench,Trae YoungAtlPG,,,,,,,,,6.33,97.0,-0.6,5,144,2019-03-08
Bench,Brook LopezMilC,,,,,,,,,4.02,64.2,-4.3,5,144,2019-03-08
C,Enes KanterPorC,,,,,,,,,6.60,92.0,+2.7,6,144,2019-03-08
G,"Jimmy ButlerPhiSG, SF",@Hou,L 91-107,34,9,3,0,2,19,-0.19,97.7,-1.7,6,144,2019-03-08
G,CJ McCollumPorSG,,,,,,,,,-3.19,89.1,+4.0,6,144,2019-03-08
G,"Jamal MurrayDenPG, SG",@GS,L 105-122,23,0,3,0,0,11,7.01,95.6,-0.1,6,144,2019-03-08
F,"LeBron JamesOLALSF, PF",,,,,,,,,-3.82,85.5,-2.8,6,144,2019-03-08
F,"Ben SimmonsDTDPhiPG, SF",@Hou,L 91-107,34,9,10,2,1,15,8.18,98.4,-1.4,6,144,2019-03-08
F,Blake GriffinDTDDetPF,@Chi,W 112-104,33,3,3,0,0,27,0.18,97.2,-1.3,6,144,2019-03-08
UTIL,DeAndre JordanNYC,,,,,,,,,-4.50,86.6,-3.8,6,144,2019-03-08
UTIL,"Andrew WigginsMinSF, SG",,,,,,,,,5.65,92.1,+1.6,6,144,2019-03-08
UTIL,"Nicolas BatumChaSG, SF",Wsh,W 112-111,39,8,5,2,0,10,-2.03,64.4,+0.4,6,144,2019-03-08
Bench,"Jrue HolidayONOPG, SG",Tor,L 104-127,,,,,,,,75.9,-1.0,6,144,2019-03-08
Bench,"Julius RandleNOPF, C",Tor,L 104-127,32,9,7,0,0,18,1.38,95.3,-3.6,6,144,2019-03-08
Bench,"Tobias HarrisPhiPF, SF",@Hou,L 91-107,34,9,0,0,0,22,2.47,97.4,-2.0,6,144,2019-03-08
