pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,129,2019-02-21
G,Eric BledsoeMilPG,Bos,W 98-97,32,3,1,0,0,5,3.63,96.5,0.0,1,129,2019-02-21
G,De'Aaron FoxSacPG,@GS,L 123-125,32,3,8,3,1,18,8.07,97.3,-1.0,1,129,2019-02-21
G,"D'Angelo RussellBknPG, SG",Por,L 99-113,29,4,8,0,0,14,6.30,98.6,+0.2,1,129,2019-02-21
F,"Giannis AntetokounmpoMilPF, SF",Bos,W 98-97,37,13,6,1,2,30,4.84,99.8,-0.1,1,129,2019-02-21
F,"Jerami GrantOKCSF, PF",,,,,,,,,4.03,71.8,+1.9,1,129,2019-02-21
F,PJ TuckerHouSF,@LAL,L 106-111,34,3,0,1,0,3,0.81,6.4,-1.6,1,129,2019-02-21
UTIL,DeMarcus CousinsGSC,Sac,W 125-123,27,10,3,0,1,17,8.77,90.4,-3.7,1,129,2019-02-21
UTIL,Kelly Oubre Jr.OPhxSF,@Cle,L 98-111,41,4,1,3,2,23,,18.0,-2.7,1,129,2019-02-21
UTIL,Clint CapelaDTDHouC,@LAL,L 106-111,33,11,0,0,1,12,7.18,96.8,-2.1,1,129,2019-02-21
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,129,2019-02-21
Bench,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,129,2019-02-21
Bench,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,129,2019-02-21
Bench,"Jonathan IsaacOrlPF, SF",,,,,,,,,2.45,12.7,-5.0,1,129,2019-02-21
C,Empty,,,,,,,,,,,,2,129,2019-02-21
G,Stephen CurryGSPG,Sac,W 125-123,36,6,7,2,0,36,8.07,99.8,-0.1,2,129,2019-02-21
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,129,2019-02-21
G,Dennis Smith Jr.NYPG,,,,,,,,,-1.61,67.0,+1.2,2,129,2019-02-21
F,"Kevin DurantGSSF, PF",Sac,W 125-123,37,9,4,1,7,28,7.33,99.9,0.0,2,129,2019-02-21
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,129,2019-02-21
F,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,129,2019-02-21
UTIL,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,129,2019-02-21
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,129,2019-02-21
UTIL,Al HorfordDTDBosC,@Mil,L 97-98,37,17,5,2,3,21,3.25,89.6,-3.4,2,129,2019-02-21
Bench,"Devin BookerOPhxSG, PG",@Cle,L 98-111,38,1,7,1,0,30,1.12,84.7,-14.3,2,129,2019-02-21
Bench,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,129,2019-02-21
Bench,"Montrezl HarrellLACC, PF",,,,,,,,,3.59,89.7,-1.4,2,129,2019-02-21
Bench,Pascal SiakamTorPF,,,,,,,,,1.39,91.4,-3.7,2,129,2019-02-21
C,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,129,2019-02-21
G,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,129,2019-02-21
G,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,129,2019-02-21
G,"Josh RichardsonOMiaSF, SG",@Phi,L 102-106,37,2,5,0,1,13,-4.30,65.7,-4.6,3,129,2019-02-21
F,"Khris MiddletonMilSF, SG",Bos,W 98-97,31,13,4,1,0,15,1.81,98.9,+0.5,3,129,2019-02-21
F,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,129,2019-02-21
F,"Draymond GreenDTDGSPF, C",Sac,W 125-123,34,6,8,0,0,12,10.19,95.3,-1.2,3,129,2019-02-21
UTIL,Chris PaulHouPG,@LAL,L 106-111,35,10,9,1,1,23,7.78,97.8,-1.2,3,129,2019-02-21
UTIL,Brook LopezMilC,Bos,W 98-97,34,8,1,0,2,10,4.02,64.2,-4.3,3,129,2019-02-21
UTIL,Buddy HieldSacSG,@GS,L 123-125,31,7,2,0,1,19,4.12,95.9,-0.5,3,129,2019-02-21
Bench,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,129,2019-02-21
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,129,2019-02-21
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,129,2019-02-21
C,Deandre AytonOPhxC,@Cle,L 98-111,35,9,3,1,0,13,-2.35,84.9,-7.1,4,129,2019-02-21
