pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",Phx,W 119-91,31,11,11,4,1,35,10.34,99.9,0.0,1,5,2018-10-20
G,John WallOWshPG,Tor,L 113-117,34,4,6,4,1,25,,55.3,+2.2,1,5,2018-10-20
G,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,5,2018-10-20
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,5,2018-10-20
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,5,2018-10-20
F,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,1,5,2018-10-20
F,"Kevin LoveClePF, C",,,,,,,,,-3.61,82.2,-9.3,1,5,2018-10-20
UTIL,Nikola VucevicOrlC,@Phi,L 115-116,38,13,12,2,0,27,4.36,97.8,-1.4,1,5,2018-10-20
UTIL,Dennis Smith Jr.NYPG,Bos,L 101-103,26,3,6,0,0,19,-1.61,67.0,+1.2,1,5,2018-10-20
UTIL,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,5,2018-10-20
Bench,Lonzo BallOLALPG,Hou,L 115-124,26,6,4,0,0,14,,63.0,+0.7,1,5,2018-10-20
Bench,Lou WilliamsLACSG,,,,,,,,,2.44,95.9,-0.9,1,5,2018-10-20
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,5,2018-10-20
C,Andre DrummondDetC,@Chi,W 118-116,24,13,0,0,1,10,18.90,99.7,0.0,2,5,2018-10-20
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,5,2018-10-20
G,Kemba WalkerChaPG,@Mia,W 113-112,40,5,7,0,0,39,7.08,99.9,0.0,2,5,2018-10-20
G,"Devin BookerOPhxSG, PG",@Den,L 91-119,36,2,7,1,0,25,1.12,84.7,-14.3,2,5,2018-10-20
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,5,2018-10-20
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,5,2018-10-20
F,"Will BartonDenSF, SG",Phx,W 119-91,19,5,4,1,0,14,0.75,61.6,-2.8,2,5,2018-10-20
UTIL,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,5,2018-10-20
UTIL,"Luka DoncicDalSG, PF",Min,W 140-136,36,6,3,2,1,26,0.92,98.5,-0.2,2,5,2018-10-20
UTIL,Otto Porter Jr.OChiSF,Det,L 116-118,25,1,0,1,1,11,,67.8,-1.7,2,5,2018-10-20
Bench,Deandre AytonOPhxC,@Den,L 91-119,23,8,1,0,0,5,-2.35,84.9,-7.1,2,5,2018-10-20
Bench,Dwight HowardOWshC,Tor,L 113-117,,,,,,,,54.1,+1.2,2,5,2018-10-20
Bench,Gary HarrisDenSG,Phx,W 119-91,35,5,4,2,1,18,2.16,55.4,-0.6,2,5,2018-10-20
C,Karl-Anthony TownsMinC,@Dal,L 136-140,34,5,2,1,1,31,5.61,99.8,-0.1,3,5,2018-10-20
G,Chris PaulHouPG,@LAL,W 124-115,30,7,10,1,0,28,7.78,97.8,-1.2,3,5,2018-10-20
G,Bradley BealWshSG,Tor,L 113-117,35,3,6,1,1,32,4.70,98.1,-1.7,3,5,2018-10-20
G,Zach LaVineOChiSG,Det,L 116-118,37,3,3,0,0,33,,80.6,-4.6,3,5,2018-10-20
F,"LaMarcus AldridgeSAPF, C",@Por,L 108-121,37,8,5,1,1,12,6.85,99.7,-0.1,3,5,2018-10-20
F,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,5,2018-10-20
F,"Gordon HaywardBosSF, SG",@NY,W 103-101,,,,,,,1.91,84.4,-1.1,3,5,2018-10-20
UTIL,"Kyle KuzmaOLALPF, SF",Hou,L 115-124,25,2,3,0,2,11,-3.39,84.4,-7.3,3,5,2018-10-20
UTIL,Aaron GordonOrlPF,@Phi,L 115-116,32,12,3,1,3,20,5.90,95.8,+0.1,3,5,2018-10-20
UTIL,"Caris LeVertBknSF, SG",@Ind,L 112-132,28,4,3,2,1,19,3.12,39.7,+3.6,3,5,2018-10-20
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,5,2018-10-20
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,5,2018-10-20
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,5,2018-10-20
C,Joel EmbiidDTDPhiC,Orl,W 116-115,34,10,3,0,0,32,3.83,99.7,0.0,4,5,2018-10-20
G,"James HardenHouSG, PG",@LAL,W 124-115,38,7,5,2,1,36,9.59,99.8,-0.1,4,5,2018-10-20
G,Victor OladipoOIndSG,Bkn,W 132-112,33,7,3,4,0,25,,53.3,+2.0,4,5,2018-10-20
G,Kyle LowryTorPG,@Wsh,W 117-113,35,3,12,1,1,28,4.23,97.1,-1.6,4,5,2018-10-20
F,"DeMar DeRozanSASG, SF",@Por,L 108-121,34,3,9,2,0,28,5.87,99.7,-0.1,4,5,2018-10-20
F,"Jayson TatumBosSF, PF",@NY,W 103-101,35,14,0,2,0,24,1.38,93.8,-4.2,4,5,2018-10-20
F,Marvin WilliamsChaPF,@Mia,W 113-112,30,6,1,0,3,13,-1.89,4.6,-2.2,4,5,2018-10-20
UTIL,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,5,2018-10-20
UTIL,"Jaylen BrownBosSG, SF",@NY,W 103-101,38,5,2,1,0,7,-1.14,63.4,-1.8,4,5,2018-10-20
UTIL,Jarrett AllenBknC,@Ind,L 112-132,22,3,0,0,1,8,2.16,81.5,+1.5,4,5,2018-10-20
Bench,Lauri MarkkanenChiPF,Det,L 116-118,,,,,,,,69.4,-1.4,4,5,2018-10-20
Bench,Kristaps PorzingisODalPF,Min,W 140-136,,,,,,,,18.2,-0.5,4,5,2018-10-20
Bench,Kris DunnOChiPG,Det,L 116-118,,,,,,,-5.20,50.8,-1.1,4,5,2018-10-20
C,Al HorfordDTDBosC,@NY,W 103-101,24,10,3,1,1,8,3.25,89.6,-3.4,5,5,2018-10-20
G,Damian LillardPorPG,SA,W 121-108,30,2,9,0,0,29,7.24,99.8,-0.1,5,5,2018-10-20
G,Kyrie IrvingBosPG,@NY,W 103-101,32,1,5,2,0,16,2.31,96.0,-3.5,5,5,2018-10-20
G,Goran DragicMiaPG,Cha,L 112-113,39,4,7,0,0,20,7.23,76.8,+2.4,5,5,2018-10-20
F,Kawhi LeonardSASF,@Por,L 108-121,,,,,,,1.20,98.8,-0.6,5,5,2018-10-20
F,"Brandon IngramOLALSF, SG",Hou,L 115-124,29,4,0,1,1,12,,65.5,+0.7,5,5,2018-10-20
F,Paul MillsapDenPF,Phx,W 119-91,32,10,2,1,2,14,2.58,88.4,-2.0,5,5,2018-10-20
UTIL,Clint CapelaDTDHouC,@LAL,W 124-115,34,12,0,0,1,19,7.18,96.8,-2.1,5,5,2018-10-20
UTIL,Hassan WhitesideMiaC,Cha,L 112-113,25,15,0,0,2,11,4.61,91.6,+1.7,5,5,2018-10-20
UTIL,Rajon RondoLALPG,Hou,L 115-124,30,7,10,2,0,13,6.19,45.0,-13.6,5,5,2018-10-20
Bench,"Anthony DavisONOPF, C",,,,,,,,,-5.20,91.0,-6.3,5,5,2018-10-20
Bench,"Donovan MitchellDTDUtahSG, PG",,,,,,,,,6.01,98.5,-0.5,5,5,2018-10-20
Bench,Marc GasolTorC,@Wsh,W 117-113,,,,,,,3.00,94.0,-1.5,5,5,2018-10-20
C,Enes KanterPorC,SA,W 121-108,31,15,2,2,0,17,6.60,92.0,+2.7,6,5,2018-10-20
G,"Jimmy ButlerPhiSG, SF",Orl,W 116-115,,,,,,,-0.19,97.7,-1.7,6,5,2018-10-20
G,CJ McCollumPorSG,SA,W 121-108,30,2,2,0,0,24,-3.19,89.1,+4.0,6,5,2018-10-20
G,"Jamal MurrayDenPG, SG",Phx,W 119-91,37,3,5,2,1,26,7.01,95.6,-0.1,6,5,2018-10-20
F,"LeBron JamesOCleSF, PF",,,39,5,5,2,1,24,-3.82,85.5,-2.8,6,5,2018-10-20
F,"Ben SimmonsDTDPhiPG, SF",Orl,W 116-115,8,0,4,0,0,4,8.18,98.4,-1.4,6,5,2018-10-20
F,Blake GriffinDTDDetPF,@Chi,W 118-116,35,12,5,0,1,33,0.18,97.2,-1.3,6,5,2018-10-20
UTIL,DeAndre JordanNYC,Bos,L 101-103,32,10,1,2,5,22,-4.50,86.6,-3.8,6,5,2018-10-20
UTIL,"Andrew WigginsMinSF, SG",@Dal,L 136-140,27,3,2,1,0,19,5.65,92.1,+1.6,6,5,2018-10-20
UTIL,"Nicolas BatumChaSG, SF",@Mia,W 113-112,42,4,4,1,0,8,-2.03,64.4,+0.4,6,5,2018-10-20
Bench,"Jrue HolidayONOPG, SG",,,,,,,,,,75.9,-1.0,6,5,2018-10-20
Bench,"Julius RandleNOPF, C",,,,,,,,,1.38,95.3,-3.6,6,5,2018-10-20
Bench,"Tobias HarrisPhiPF, SF",Orl,W 116-115,,,,,,,2.47,97.4,-2.0,6,5,2018-10-20
