pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",Bkn,L 110-112,33,21,3,1,2,37,10.34,99.9,0.0,1,25,2018-11-09
G,John WallOWshPG,@Orl,L 108-117,42,7,12,2,1,19,,55.3,+2.2,1,25,2018-11-09
G,Ricky RubioOUtahPG,Bos,W 123-115,37,6,7,0,0,17,-0.97,80.4,-4.9,1,25,2018-11-09
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,25,2018-11-09
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,25,2018-11-09
F,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,25,2018-11-09
F,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,25,2018-11-09
UTIL,Nikola VucevicOrlC,Wsh,W 117-108,31,14,3,1,2,21,4.36,97.8,-1.4,1,25,2018-11-09
UTIL,"Serge IbakaOKCPF, C",,,,,,,,,3.34,85.3,-3.2,1,25,2018-11-09
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,25,2018-11-09
Bench,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,1,25,2018-11-09
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,1,25,2018-11-09
Bench,John CollinsAtlPF,Det,L 109-124,,,,,,,3.81,95.9,-1.3,1,25,2018-11-09
C,Andre DrummondDetC,@Atl,W 124-109,33,11,1,1,4,23,18.90,99.7,0.0,2,25,2018-11-09
G,Kemba WalkerChaPG,@Phi,L 132-133,40,7,9,1,0,30,7.08,99.9,0.0,2,25,2018-11-09
G,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,25,2018-11-09
G,Gary HarrisDenSG,Bkn,L 110-112,36,2,4,0,1,4,2.16,55.4,-0.6,2,25,2018-11-09
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,25,2018-11-09
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,25,2018-11-09
F,Robert CovingtonOMinSF,@Sac,L 110-121,30,3,1,0,4,7,,25.4,-1.4,2,25,2018-11-09
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,25,2018-11-09
UTIL,Dwight HowardOOrlC,Wsh,W 117-108,26,8,0,0,0,12,,54.1,+1.2,2,25,2018-11-09
UTIL,Myles TurnerIndC,@Mia,W 110-102,24,6,0,0,2,8,6.53,88.1,-3.3,2,25,2018-11-09
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,25,2018-11-09
Bench,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,25,2018-11-09
Bench,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,25,2018-11-09
C,Karl-Anthony TownsMinC,@Sac,L 110-121,40,19,1,0,1,39,5.61,99.8,-0.1,3,25,2018-11-09
G,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,25,2018-11-09
G,Bradley BealWshSG,@Orl,L 108-117,42,4,6,2,1,27,4.70,98.1,-1.7,3,25,2018-11-09
G,De'Aaron FoxSacPG,Min,W 121-110,33,4,10,1,2,16,8.07,97.3,-1.0,3,25,2018-11-09
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,25,2018-11-09
F,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,25,2018-11-09
F,"Gordon HaywardBosSF, SG",@Utah,L 115-123,26,1,7,1,0,13,1.91,84.4,-1.1,3,25,2018-11-09
UTIL,Rudy GobertDTDUtahC,Bos,W 123-115,36,15,2,0,2,17,11.36,97.7,-1.2,3,25,2018-11-09
UTIL,Zach LaVineOChiSG,,,,,,,,,,80.6,-4.6,3,25,2018-11-09
UTIL,Aaron GordonOrlPF,Wsh,W 117-108,42,7,4,0,0,20,5.90,95.8,+0.1,3,25,2018-11-09
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,25,2018-11-09
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,25,2018-11-09
Bench,"Kyle KuzmaOLALPF, SF",,,,,,,,,-3.39,84.4,-7.3,3,25,2018-11-09
