pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,LAC,L 95-120,32,11,3,0,3,22,4.36,97.8,-1.4,1,18,2018-11-02
G,John WallOWshPG,OKC,L 111-134,34,2,9,1,0,19,,55.3,+2.2,1,18,2018-11-02
G,Ricky RubioOUtahPG,Mem,L 100-110,32,2,11,1,0,22,-0.97,80.4,-4.9,1,18,2018-11-02
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,18,2018-11-02
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,18,2018-11-02
F,"Draymond GreenDTDGSPF, C",Min,W 116-99,33,9,11,1,3,9,10.19,95.3,-1.2,1,18,2018-11-02
F,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,18,2018-11-02
UTIL,"Serge IbakaTorPF, C",@Phx,W 107-98,23,4,1,2,2,14,3.34,85.3,-3.2,1,18,2018-11-02
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,18,2018-11-02
UTIL,"Rudy GaySASF, PF",,,,,,,,,1.81,83.8,-1.8,1,18,2018-11-02
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,18,2018-11-02
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,1,18,2018-11-02
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,18,2018-11-02
C,Dwight HowardOWshC,OKC,L 111-134,23,3,1,2,0,20,,54.1,+1.2,2,18,2018-11-02
G,Stephen CurryGSPG,Min,W 116-99,35,9,7,0,2,28,8.07,99.8,-0.1,2,18,2018-11-02
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,18,2018-11-02
G,Klay ThompsonGSSG,Min,W 116-99,36,4,1,0,0,22,1.34,97.9,-1.5,2,18,2018-11-02
F,"Kevin DurantGSSF, PF",Min,W 116-99,36,13,3,0,1,33,7.33,99.9,0.0,2,18,2018-11-02
F,Paul GeorgeDTDOKCSF,@Wsh,W 134-111,29,4,7,2,0,17,8.72,99.8,-0.1,2,18,2018-11-02
F,Otto Porter Jr.OChiSF,Ind,L 105-107,16,3,2,0,0,9,,67.8,-1.7,2,18,2018-11-02
UTIL,Deandre AytonOPhxC,Tor,L 98-107,35,18,2,0,2,17,-2.35,84.9,-7.1,2,18,2018-11-02
UTIL,"Luka DoncicDalSG, PF",NY,L 106-118,35,9,6,1,0,18,0.92,98.5,-0.2,2,18,2018-11-02
UTIL,Myles TurnerIndC,@Chi,W 107-105,27,3,3,0,6,18,6.53,88.1,-3.3,2,18,2018-11-02
Bench,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,18,2018-11-02
Bench,"Devin BookerOPhxSG, PG",Tor,L 98-107,36,4,6,1,1,18,1.12,84.7,-14.3,2,18,2018-11-02
Bench,Gary HarrisDenSG,,,,,,,,,2.16,55.4,-0.6,2,18,2018-11-02
C,Karl-Anthony TownsMinC,@GS,L 99-116,35,11,1,2,1,13,5.61,99.8,-0.1,3,18,2018-11-02
G,Russell WestbrookOKCPG,@Wsh,W 134-111,26,3,12,4,0,23,15.16,99.9,0.0,3,18,2018-11-02
