pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",Cha,W 123-110,34,12,6,3,1,39,10.34,99.9,0.0,1,82,2019-01-05
G,Ricky RubioOUtahPG,@Det,W 110-105,30,2,4,1,0,18,-0.97,80.4,-4.9,1,82,2019-01-05
G,Eric BledsoeMilPG,Tor,L 116-123,32,3,8,2,0,14,3.63,96.5,0.0,1,82,2019-01-05
G,De'Aaron FoxSacPG,GS,L 123-127,31,0,7,2,0,8,8.07,97.3,-1.0,1,82,2019-01-05
F,"Giannis AntetokounmpoMilPF, SF",Tor,L 116-123,40,18,4,1,0,43,4.84,99.8,-0.1,1,82,2019-01-05
F,"Serge IbakaTorPF, C",@Mil,W 123-116,36,9,5,0,1,25,3.34,85.3,-3.2,1,82,2019-01-05
F,"Larry Nance Jr.ClePF, C",NO,L 98-133,26,6,2,1,0,6,7.44,48.4,+1.9,1,82,2019-01-05
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,82,2019-01-05
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,82,2019-01-05
UTIL,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,82,2019-01-05
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,82,2019-01-05
Bench,DeMarcus CousinsGSC,@Sac,W 127-123,,,,,,,8.77,90.4,-3.7,1,82,2019-01-05
Bench,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,82,2019-01-05
C,Andre DrummondDetC,Utah,L 105-110,38,18,0,3,1,15,18.90,99.7,0.0,2,82,2019-01-05
G,Stephen CurryGSPG,@Sac,W 127-123,38,5,2,2,0,42,8.07,99.8,-0.1,2,82,2019-01-05
G,Kemba WalkerChaPG,@Den,L 110-123,33,4,3,0,0,20,7.08,99.9,0.0,2,82,2019-01-05
G,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,82,2019-01-05
F,"Kevin DurantGSSF, PF",@Sac,W 127-123,39,5,9,0,2,29,7.33,99.9,0.0,2,82,2019-01-05
F,"Luka DoncicDalSG, PF",@Phi,L 100-106,26,9,4,2,0,14,0.92,98.5,-0.2,2,82,2019-01-05
F,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,82,2019-01-05
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,82,2019-01-05
UTIL,Klay ThompsonGSSG,@Sac,W 127-123,40,4,2,1,1,20,1.34,97.9,-1.5,2,82,2019-01-05
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,82,2019-01-05
Bench,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,82,2019-01-05
Bench,Robert CovingtonOMinSF,,,,,,,,,,25.4,-1.4,2,82,2019-01-05
Bench,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,2,82,2019-01-05
C,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,82,2019-01-05
G,Chris PaulHouPG,@Por,L 101-110,,,,,,,7.78,97.8,-1.2,3,82,2019-01-05
G,"Khris MiddletonMilSF, SG",Tor,L 116-123,32,2,9,1,0,14,1.81,98.9,+0.5,3,82,2019-01-05
G,Mike ConleyOMemPG,@SA,L 88-108,25,1,3,0,0,21,-2.26,87.3,-9.2,3,82,2019-01-05
F,"LaMarcus AldridgeSAPF, C",Mem,W 108-88,31,2,7,2,0,18,6.85,99.7,-0.1,3,82,2019-01-05
F,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,82,2019-01-05
F,"Draymond GreenDTDGSPF, C",@Sac,W 127-123,32,7,7,1,2,12,10.19,95.3,-1.2,3,82,2019-01-05
UTIL,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,82,2019-01-05
UTIL,Rudy GobertDTDUtahC,@Det,W 110-105,27,11,3,0,1,9,11.36,97.7,-1.2,3,82,2019-01-05
UTIL,Brook LopezMilC,Tor,L 116-123,24,2,0,0,0,5,4.02,64.2,-4.3,3,82,2019-01-05
Bench,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,82,2019-01-05
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,3,82,2019-01-05
Bench,"Josh RichardsonOMiaSF, SG",,,,,,,,,-4.30,65.7,-4.6,3,82,2019-01-05
C,Joel EmbiidDTDPhiC,Dal,W 106-100,35,12,5,1,1,25,3.83,99.7,0.0,4,82,2019-01-05
G,"James HardenHouSG, PG",@Por,L 101-110,37,5,7,1,1,38,9.59,99.8,-0.1,4,82,2019-01-05
G,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,82,2019-01-05
G,"DeMar DeRozanSASG, SF",Mem,W 108-88,34,9,4,1,0,12,5.87,99.7,-0.1,4,82,2019-01-05
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,82,2019-01-05
F,Paul MillsapDenPF,Cha,W 123-110,27,6,3,4,0,18,2.58,88.4,-2.0,4,82,2019-01-05
F,"Domantas SabonisIndPF, C",,,,,,,,,3.36,91.8,-1.5,4,82,2019-01-05
UTIL,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,82,2019-01-05
UTIL,Jarrett AllenBknC,,,,,,,,,2.16,81.5,+1.5,4,82,2019-01-05
UTIL,Jusuf NurkicOPorC,Hou,W 110-101,31,15,3,0,0,25,,65.9,-1.1,4,82,2019-01-05
Bench,Kyle LowryTorPG,@Mil,W 123-116,,,,,,,4.23,97.1,-1.6,4,82,2019-01-05
Bench,Jeff TeagueOMinPG,,,,,,,,,,56.1,-0.5,4,82,2019-01-05
Bench,Zach LaVineOChiSG,,,,,,,,,,80.6,-4.6,4,82,2019-01-05
C,"Anthony DavisONOPF, C",@Cle,W 133-98,29,10,3,4,2,20,-5.20,91.0,-6.3,5,82,2019-01-05
G,Damian LillardPorPG,Hou,W 110-101,36,5,12,2,0,17,7.24,99.8,-0.1,5,82,2019-01-05
G,Kyrie IrvingBosPG,,,,,,,,,2.31,96.0,-3.5,5,82,2019-01-05
G,"Donovan MitchellDTDUtahSG, PG",@Det,W 110-105,38,5,5,3,1,26,6.01,98.5,-0.5,5,82,2019-01-05
F,Kawhi LeonardSASF,Mem,W 108-88,38,7,6,5,0,30,1.20,98.8,-0.6,5,82,2019-01-05
F,"Kyle KuzmaOLALPF, SF",,,,,,,,,-3.39,84.4,-7.3,5,82,2019-01-05
F,Harrison BarnesSacPF,GS,L 123-127,26,5,2,0,0,7,0.36,84.9,-0.7,5,82,2019-01-05
