pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,47,2018-12-01
G,John WallOWshPG,Bkn,W 102-88,37,5,9,1,0,30,,55.3,+2.2,1,47,2018-12-01
G,Eric BledsoeMilPG,@NY,L 134-136,37,5,7,2,0,27,3.63,96.5,0.0,1,47,2018-12-01
G,De'Aaron FoxSacPG,Ind,W 111-110,37,4,6,4,1,15,8.07,97.3,-1.0,1,47,2018-12-01
F,"Giannis AntetokounmpoMilPF, SF",@NY,L 134-136,42,19,7,3,2,33,4.84,99.8,-0.1,1,47,2018-12-01
F,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,47,2018-12-01
F,"Wendell Carter Jr.OChiPF, C",@Hou,L 105-121,33,8,1,0,1,8,-5.20,48.4,+1.0,1,47,2018-12-01
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,47,2018-12-01
UTIL,"Serge IbakaTorPF, C",@Cle,W 106-95,31,6,1,0,0,10,3.34,85.3,-3.2,1,47,2018-12-01
UTIL,"Gordon HaywardBosSF, SG",@Min,W 118-109,30,9,8,2,0,30,1.91,84.4,-1.1,1,47,2018-12-01
Bench,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,47,2018-12-01
Bench,Nikola MiroticOMilPF,@NY,L 134-136,,,,,,,-5.20,57.3,-1.0,1,47,2018-12-01
Bench,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,47,2018-12-01
C,Andre DrummondDetC,GS,W 111-102,33,19,0,3,2,16,18.90,99.7,0.0,2,47,2018-12-01
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,47,2018-12-01
G,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,47,2018-12-01
G,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,47,2018-12-01
F,"Kevin DurantGSSF, PF",@Det,L 102-111,40,6,7,0,2,28,7.33,99.9,0.0,2,47,2018-12-01
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,47,2018-12-01
F,Robert CovingtonOMinSF,Bos,L 109-118,38,10,0,4,0,17,,25.4,-1.4,2,47,2018-12-01
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,47,2018-12-01
