pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",Bos,W 115-107,27,10,8,0,0,8,10.34,99.9,0.0,1,21,2018-11-05
G,John WallOWshPG,,,,,,,,,,55.3,+2.2,1,21,2018-11-05
G,Ricky RubioOUtahPG,Tor,L 111-124,28,3,9,1,0,8,-0.97,80.4,-4.9,1,21,2018-11-05
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,21,2018-11-05
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,21,2018-11-05
F,"Draymond GreenDTDGSPF, C",Mem,W 117-101,14,4,2,0,1,0,10.19,95.3,-1.2,1,21,2018-11-05
F,Nikola MiroticOMilPF,,,32,16,0,2,0,16,-5.20,57.3,-1.0,1,21,2018-11-05
UTIL,Nikola VucevicOrlC,Cle,W 102-100,27,10,1,1,2,14,4.36,97.8,-1.4,1,21,2018-11-05
UTIL,"Serge IbakaTorPF, C",@Utah,W 124-111,14,5,1,0,0,17,3.34,85.3,-3.2,1,21,2018-11-05
UTIL,"Wendell Carter Jr.OChiPF, C",@NY,W 116-115,22,13,2,0,2,11,-5.20,48.4,+1.0,1,21,2018-11-05
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,1,21,2018-11-05
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,21,2018-11-05
Bench,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,21,2018-11-05
C,Andre DrummondDetC,Mia,L 115-120,44,24,3,1,1,25,18.90,99.7,0.0,2,21,2018-11-05
G,Stephen CurryGSPG,Mem,W 117-101,32,5,7,1,1,19,8.07,99.8,-0.1,2,21,2018-11-05
G,Klay ThompsonGSSG,Mem,W 117-101,32,2,3,1,0,27,1.34,97.9,-1.5,2,21,2018-11-05
G,Gary HarrisDenSG,Bos,W 115-107,37,5,3,3,0,13,2.16,55.4,-0.6,2,21,2018-11-05
F,"Kevin DurantGSSF, PF",Mem,W 117-101,32,6,6,1,0,22,7.33,99.9,0.0,2,21,2018-11-05
F,Paul GeorgeDTDOKCSF,NO,W 122-116,37,6,8,4,0,23,8.72,99.8,-0.1,2,21,2018-11-05
F,Robert CovingtonOMinSF,@LAC,L 109-120,,,,,,,,25.4,-1.4,2,21,2018-11-05
UTIL,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,21,2018-11-05
