pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,127,2019-02-19
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,127,2019-02-19
G,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,127,2019-02-19
G,Empty,,,,,,,,,,,,1,127,2019-02-19
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,127,2019-02-19
F,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,127,2019-02-19
F,"Jerami GrantOKCSF, PF",,,,,,,,,4.03,71.8,+1.9,1,127,2019-02-19
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,127,2019-02-19
UTIL,Kelly Oubre Jr.OPhxSF,,,,,,,,,,18.0,-2.7,1,127,2019-02-19
UTIL,"Jonathan IsaacOrlPF, SF",,,,,,,,,2.45,12.7,-5.0,1,127,2019-02-19
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,127,2019-02-19
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,127,2019-02-19
Bench,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,1,127,2019-02-19
Bench,PJ TuckerHouSF,,,,,,,,,0.81,6.4,-1.6,1,127,2019-02-19
Bench,Clint CapelaDTDHouC,,,,,,,,,7.18,96.8,-2.1,1,127,2019-02-19
C,Empty,,,,,,,,,,,,2,127,2019-02-19
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,127,2019-02-19
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,127,2019-02-19
G,Dennis Smith Jr.NYPG,,,,,,,,,-1.61,67.0,+1.2,2,127,2019-02-19
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,127,2019-02-19
F,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,127,2019-02-19
F,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,127,2019-02-19
UTIL,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,127,2019-02-19
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,127,2019-02-19
UTIL,Al HorfordDTDBosC,,,,,,,,,3.25,89.6,-3.4,2,127,2019-02-19
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,127,2019-02-19
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,127,2019-02-19
Bench,"Montrezl HarrellLACC, PF",,,,,,,,,3.59,89.7,-1.4,2,127,2019-02-19
Bench,Pascal SiakamTorPF,,,,,,,,,1.39,91.4,-3.7,2,127,2019-02-19
C,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,127,2019-02-19
G,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,127,2019-02-19
G,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,127,2019-02-19
G,"Josh RichardsonOMiaSF, SG",,,,,,,,,-4.30,65.7,-4.6,3,127,2019-02-19
F,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,127,2019-02-19
F,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,127,2019-02-19
F,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,127,2019-02-19
UTIL,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,127,2019-02-19
UTIL,Brook LopezMilC,,,,,,,,,4.02,64.2,-4.3,3,127,2019-02-19
UTIL,Buddy HieldSacSG,,,,,,,,,4.12,95.9,-0.5,3,127,2019-02-19
Bench,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,127,2019-02-19
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,127,2019-02-19
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,127,2019-02-19
C,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,127,2019-02-19
G,"James HardenHouSG, PG",,,,,,,,,9.59,99.8,-0.1,4,127,2019-02-19
G,Kyle LowryTorPG,,,,,,,,,4.23,97.1,-1.6,4,127,2019-02-19
G,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,4,127,2019-02-19
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,127,2019-02-19
F,"Domantas SabonisIndPF, C",,,,,,,,,3.36,91.8,-1.5,4,127,2019-02-19
F,"Justise WinslowMiaSF, PG",,,,,,,,,1.09,24.4,+2.4,4,127,2019-02-19
