pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,Min,W 122-112,31,10,3,0,2,21,4.36,97.8,-1.4,1,115,2019-02-07
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,115,2019-02-07
G,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,1,115,2019-02-07
G,Empty,,,,,,,,,,,,1,115,2019-02-07
F,"Jerami GrantOKCSF, PF",Mem,W 117-95,30,3,0,0,1,20,4.03,71.8,+1.9,1,115,2019-02-07
F,"Serge IbakaTorPF, C",@Atl,W 119-101,26,5,2,0,0,12,3.34,85.3,-3.2,1,115,2019-02-07
F,Empty,,,,,,,,,,,,1,115,2019-02-07
UTIL,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,115,2019-02-07
UTIL,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,115,2019-02-07
UTIL,Empty,,,,,,,,,,,,1,115,2019-02-07
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,115,2019-02-07
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,115,2019-02-07
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,115,2019-02-07
Bench,Kelly Oubre Jr.OPhxSF,,,,,,,,,,18.0,-2.7,1,115,2019-02-07
Bench,PJ TuckerHouSF,,,,,,,,,0.81,6.4,-1.6,1,115,2019-02-07
Bench,"Kenneth FariedHouPF, C",,,,,,,,,-1.76,12.5,-1.7,1,115,2019-02-07
C,Al HorfordDTDBosC,LAL,L 128-129,25,7,2,2,1,12,3.25,89.6,-3.4,2,115,2019-02-07
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,115,2019-02-07
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,115,2019-02-07
G,Darren CollisonIndPG,LAC,W 116-92,26,3,5,1,0,14,0.46,57.0,-2.8,2,115,2019-02-07
F,Paul GeorgeDTDOKCSF,Mem,W 117-95,32,5,4,4,0,27,8.72,99.8,-0.1,2,115,2019-02-07
F,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,115,2019-02-07
F,"Thaddeus YoungIndPF, SF",LAC,W 116-92,24,5,4,5,0,14,2.59,69.4,-3.6,2,115,2019-02-07
UTIL,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,115,2019-02-07
UTIL,Myles TurnerIndC,LAC,W 116-92,27,2,3,4,6,17,6.53,88.1,-3.3,2,115,2019-02-07
