pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",@Atl,L 98-106,33,11,7,2,0,24,10.34,99.9,0.0,1,54,2018-12-08
G,John WallOWshPG,@Cle,L 101-116,26,4,6,0,0,1,,55.3,+2.2,1,54,2018-12-08
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,54,2018-12-08
G,De'Aaron FoxSacPG,@Ind,L 97-107,32,1,6,1,2,18,8.07,97.3,-1.0,1,54,2018-12-08
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,54,2018-12-08
F,John CollinsAtlPF,Den,W 106-98,33,12,5,0,1,30,3.81,95.9,-1.3,1,54,2018-12-08
F,"Wendell Carter Jr.OChiPF, C",Bos,L 77-133,14,4,0,0,0,3,-5.20,48.4,+1.0,1,54,2018-12-08
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,54,2018-12-08
UTIL,JaVale McGeeLALC,@Mem,W 111-88,22,10,2,0,0,10,7.27,70.8,-6.5,1,54,2018-12-08
UTIL,"Gordon HaywardBosSF, SG",@Chi,W 133-77,26,5,6,0,0,5,1.91,84.4,-1.1,1,54,2018-12-08
Bench,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,54,2018-12-08
Bench,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,54,2018-12-08
Bench,"Serge IbakaTorPF, C",,,,,,,,,3.34,85.3,-3.2,1,54,2018-12-08
C,Myles TurnerIndC,Sac,W 107-97,31,13,2,0,4,9,6.53,88.1,-3.3,2,54,2018-12-08
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,54,2018-12-08
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,54,2018-12-08
G,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,54,2018-12-08
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,54,2018-12-08
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,54,2018-12-08
F,Lauri MarkkanenChiPF,Bos,L 77-133,18,4,1,0,0,8,,69.4,-1.4,2,54,2018-12-08
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,54,2018-12-08
UTIL,Robert CovingtonOMinSF,@Por,L 105-113,,,,,,,,25.4,-1.4,2,54,2018-12-08
UTIL,Tristan ThompsonCleC,Wsh,W 116-101,42,19,5,0,2,23,-2.41,22.4,-3.5,2,54,2018-12-08
Bench,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,54,2018-12-08
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,54,2018-12-08
Bench,"Luka DoncicDalSG, PF",Hou,W 107-104,32,7,1,3,0,21,0.92,98.5,-0.2,2,54,2018-12-08
C,Karl-Anthony TownsMinC,@Por,L 105-113,30,10,2,1,1,19,5.61,99.8,-0.1,3,54,2018-12-08
G,Chris PaulHouPG,@Dal,L 104-107,38,2,8,1,0,23,7.78,97.8,-1.2,3,54,2018-12-08
G,Bradley BealWshSG,@Cle,L 101-116,33,4,5,1,0,27,4.70,98.1,-1.7,3,54,2018-12-08
G,Mike ConleyOMemPG,LAL,L 88-111,30,1,3,4,0,12,-2.26,87.3,-9.2,3,54,2018-12-08
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,54,2018-12-08
F,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,54,2018-12-08
F,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,54,2018-12-08
UTIL,Zach LaVineOChiSG,Bos,L 77-133,19,3,2,0,0,11,,80.6,-4.6,3,54,2018-12-08
UTIL,Lonzo BallOLALPG,@Mem,W 111-88,23,0,2,2,0,4,,63.0,+0.7,3,54,2018-12-08
UTIL,"Montrezl HarrellLACC, PF",Mia,L 98-121,29,9,1,0,3,10,3.59,89.7,-1.4,3,54,2018-12-08
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,54,2018-12-08
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,54,2018-12-08
