pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
C,Nikola JokicDenC,@No,L 115-125,34,10,8,1,0,25,9.34,99.7,-0.1,1,33,2018-11-17
G,Ricky RubioUtahPG,@Bos,W 98-86,28,4,2,3,0,20,6.79,88.5,+0.7,1,33,2018-11-17
G,De'Aaron FoxSacPG,@Hou,L 112-132,25,1,3,1,0,19,3.79,84.9,-2.9,1,33,2018-11-17
G,"Gordon HaywardBosSF, SG",Utah,L 86-98,26,4,3,2,0,7,4.97,92.0,-0.7,1,33,2018-11-17
F,John CollinsAtlPF,@Ind,L 89-97,12,2,0,0,1,12,0.82,88.4,+3.9,1,33,2018-11-17
F,Nikola MiroticNoPF,Den,W 125-115,34,10,2,0,3,20,5.31,79.0,-0.7,1,33,2018-11-17
F,"Wendell Carter Jr.ChiPF, C",Tor,L 83-122,22,5,3,0,1,8,2.30,69.8,-2.1,1,33,2018-11-17
UTIL,Nikola VucevicOrlC,LAL,W 130-117,31,13,0,2,0,36,8.67,89.2,+1.1,1,33,2018-11-17
UTIL,"Serge IbakaTorPF, C",@Chi,W 122-83,23,4,1,2,4,16,4.84,64.8,-6.7,1,33,2018-11-17
UTIL,JaVale McGeeLALC,@Orl,L 117-130,16,4,0,0,0,11,5.51,34.3,-6.6,1,33,2018-11-17
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,12.01,100.0,0.0,1,33,2018-11-17
Bench,John WallWshPG,,,,,,,,,8.61,99.4,-0.1,1,33,2018-11-17
Bench,Eric BledsoeMilPG,,,,,,,,,6.40,84.2,-0.3,1,33,2018-11-17
C,Deandre AytonPhxC,OKC,L 100-110,36,9,1,1,0,21,4.69,96.0,+0.5,2,33,2018-11-17
G,"Devin BookerDTDPhxSG, PG",OKC,L 100-110,39,4,12,0,0,16,7.07,99.3,+0.4,2,33,2018-11-17
G,Klay ThompsonGSSG,@Dal,L 109-112,38,3,4,2,0,22,5.40,96.0,-0.1,2,33,2018-11-17
G,Gary HarrisDTDDenSG,@No,L 115-125,39,5,4,1,1,24,2.84,63.5,-7.1,2,33,2018-11-17
F,"Kevin DurantGSSF, PF",@Dal,L 109-112,37,4,3,0,1,32,12.56,99.9,0.0,2,33,2018-11-17
F,Paul GeorgeOKCSF,@Phx,W 110-100,40,11,2,3,3,32,8.26,99.7,-0.1,2,33,2018-11-17
F,"Luka DoncicDalSG, PF",GS,W 112-109,36,9,4,0,0,24,2.90,94.5,-0.6,2,33,2018-11-17
UTIL,Andre DrummondDetC,,,,,,,,,7.92,99.6,0.0,2,33,2018-11-17
UTIL,Kemba WalkerChaPG,Phi,L 119-122,45,7,4,4,0,60,8.31,99.7,0.0,2,33,2018-11-17
UTIL,Myles TurnerIndC,Atl,W 97-89,25,10,2,0,3,10,6.93,74.3,+0.2,2,33,2018-11-17
