pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
C,Nikola JokicDenC,LAL,W 117-85,23,7,7,1,1,14,9.34,99.7,-0.1,1,43,2018-11-27
G,John WallWshPG,,,,,,,,,8.61,99.4,-0.1,1,43,2018-11-27
G,Ricky RubioUtahPG,,,,,,,,,6.79,88.5,+0.7,1,43,2018-11-27
G,Empty,,,,,,,,,,,,1,43,2018-11-27
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,12.01,100.0,0.0,1,43,2018-11-27
F,John CollinsAtlPF,@Mia,W 115-113,29,4,2,0,1,16,0.82,88.4,+3.9,1,43,2018-11-27
F,"Wendell Carter Jr.ChiPF, C",,,,,,,,,2.30,69.8,-2.1,1,43,2018-11-27
UTIL,Nikola VucevicOrlC,,,,,,,,,8.67,89.2,+1.1,1,43,2018-11-27
UTIL,"Serge IbakaTorPF, C",@Mem,W 122-114,35,3,2,0,1,16,4.84,64.8,-6.7,1,43,2018-11-27
UTIL,JaVale McGeeLALC,@Den,L 85-117,16,2,1,0,4,2,5.51,34.3,-6.6,1,43,2018-11-27
Bench,Eric BledsoeMilPG,,,,,,,,,6.40,84.2,-0.3,1,43,2018-11-27
Bench,Nikola MiroticNoPF,,,,,,,,,5.31,79.0,-0.7,1,43,2018-11-27
Bench,De'Aaron FoxSacPG,,,,,,,,,3.79,84.9,-2.9,1,43,2018-11-27
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,4.97,92.0,-0.7,1,43,2018-11-27
C,Andre DrummondDetC,NY,W 115-108,30,14,0,1,2,6,7.92,99.6,0.0,2,43,2018-11-27
G,"Devin BookerDTDPhxSG, PG",Ind,L 104-109,36,4,8,3,0,20,7.07,99.3,+0.4,2,43,2018-11-27
G,Klay ThompsonGSSG,,,,,,,,,5.40,96.0,-0.1,2,43,2018-11-27
G,Gary HarrisDTDDenSG,LAL,W 117-85,0,0,0,0,0,0,2.84,63.5,-7.1,2,43,2018-11-27
F,"Kevin DurantGSSF, PF",,,,,,,,,12.56,99.9,0.0,2,43,2018-11-27
F,Paul GeorgeOKCSF,,,,,,,,,8.26,99.7,-0.1,2,43,2018-11-27
F,Robert CovingtonMinSF,,,,,,,,,6.92,26.2,-4.8,2,43,2018-11-27
UTIL,Kemba WalkerChaPG,,,,,,,,,8.31,99.7,0.0,2,43,2018-11-27
UTIL,Deandre AytonPhxC,Ind,L 104-109,31,12,0,0,1,18,4.69,96.0,+0.5,2,43,2018-11-27
UTIL,Myles TurnerIndC,@Phx,W 109-104,29,13,1,0,5,16,6.93,74.3,+0.2,2,43,2018-11-27
Bench,Stephen CurryOGSPG,,,,,,,,,-3.95,99.8,-0.1,2,43,2018-11-27
Bench,"Luka DoncicDalSG, PF",,,,,,,,,2.90,94.5,-0.6,2,43,2018-11-27
Bench,Lauri MarkkanenOChiPF,,,,,,,,,-4.64,72.5,+1.4,2,43,2018-11-27
C,Karl-Anthony TownsMinC,,,,,,,,,6.41,99.8,-0.1,3,43,2018-11-27
G,Bradley BealWshSG,,,,,,,,,6.10,99.0,0.0,3,43,2018-11-27
G,Mike ConleyMemPG,Tor,L 114-122,35,5,6,3,2,20,7.96,92.1,+1.4,3,43,2018-11-27
G,Zach LaVineChiSG,,,,,,,,,3.49,91.0,-0.2,3,43,2018-11-27
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,7.62,99.3,-0.2,3,43,2018-11-27
F,Khris MiddletonMilSF,,,,,,,,,4.81,98.7,-0.3,3,43,2018-11-27
F,"Montrezl HarrellLACC, PF",,,,,,,,,5.93,53.7,+4.3,3,43,2018-11-27
UTIL,Rudy GobertUtahC,,,,,,,,,6.96,95.7,-1.4,3,43,2018-11-27
UTIL,Aaron GordonDTDOrlPF,,,,,,,,,4.69,83.4,-2.2,3,43,2018-11-27
UTIL,Lonzo BallDTDLALPG,@Den,L 85-117,18,5,2,0,0,7,2.53,87.9,+2.1,3,43,2018-11-27
Bench,Russell WestbrookOKCPG,,,,,,,,,4.52,99.8,-0.1,3,43,2018-11-27
Bench,Chris PaulOHouPG,,,,,,,,,3.19,98.6,-1.0,3,43,2018-11-27
Bench,"Draymond GreenOGSPF, C",,,,,,,,,-3.77,94.6,-2.4,3,43,2018-11-27
C,Joel EmbiidPhiC,,,,,,,,,10.31,99.9,0.0,4,43,2018-11-27
G,"James HardenHouSG, PG",,,,,,,,,11.34,99.9,0.0,4,43,2018-11-27
G,Kyle LowryTorPG,@Mem,W 122-114,37,2,6,0,0,24,6.80,99.6,0.0,4,43,2018-11-27
G,Jeff TeagueMinPG,,,,,,,,,5.21,73.9,+1.6,4,43,2018-11-27
F,"DeMar DeRozanSASG, SF",,,,,,,,,6.70,99.6,-0.2,4,43,2018-11-27
F,"Jayson TatumBosSF, PF",,,,,,,,,4.89,98.5,0.0,4,43,2018-11-27
F,"Jaren Jackson Jr.MemPF, C",Tor,L 114-122,19,2,0,0,1,4,7.56,37.7,+3.9,4,43,2018-11-27
UTIL,Steven AdamsOKCC,,,,,,,,,3.89,80.6,-0.3,4,43,2018-11-27
UTIL,Jarrett AllenBknC,,,,,,,,,2.46,65.0,+0.3,4,43,2018-11-27
UTIL,Paul MillsapDenPF,LAL,W 117-85,23,11,2,1,2,20,8.17,81.2,0.0,4,43,2018-11-27
Bench,Victor OladipoOIndSG,@Phx,W 109-104,,,,,,,-3.43,98.3,-1.1,4,43,2018-11-27
Bench,Jusuf NurkicPorC,,,,,,,,,6.69,75.6,-2.3,4,43,2018-11-27
Bench,"Josh RichardsonMiaSF, SG",Atl,L 113-115,36,8,4,5,0,22,4.88,69.6,+0.1,4,43,2018-11-27
C,Marc GasolDTDMemC,Tor,L 114-122,39,4,4,2,2,27,12.21,97.3,+0.4,5,43,2018-11-27
G,Kyrie IrvingBosPG,,,,,,,,,11.53,99.5,-0.2,5,43,2018-11-27
G,Goran DragicOMiaPG,Atl,L 113-115,,,,,,,-3.11,84.6,-2.1,5,43,2018-11-27
G,Trae YoungAtlPG,@Mia,W 115-113,31,5,10,1,1,17,5.40,82.1,-3.2,5,43,2018-11-27
F,"Anthony DavisNoPF, C",,,,,,,,,14.17,99.9,0.0,5,43,2018-11-27
F,Kawhi LeonardTorSF,@Mem,W 122-114,37,10,5,2,1,17,6.45,99.7,-0.1,5,43,2018-11-27
F,"Domantas SabonisIndPF, C",@Phx,W 109-104,23,16,3,1,0,21,5.87,72.4,+1.8,5,43,2018-11-27
UTIL,Clint CapelaHouC,,,,,,,,,10.13,98.3,+0.1,5,43,2018-11-27
UTIL,Hassan WhitesideMiaC,Atl,L 113-115,25,10,0,2,2,11,7.64,83.7,-2.9,5,43,2018-11-27
UTIL,Al HorfordBosC,,,,,,,,,6.15,85.6,-0.3,5,43,2018-11-27
Bench,Damian LillardPorPG,,,,,,,,,6.72,99.8,-0.1,5,43,2018-11-27
Bench,Donovan MitchellUtahSG,,,,,,,,,3.04,97.8,-1.1,5,43,2018-11-27
Bench,Lou WilliamsLACSG,,,,,,,,,0.83,94.0,-0.6,5,43,2018-11-27
C,Enes KanterNYC,@Det,L 108-115,36,14,2,1,1,16,6.33,88.9,+0.3,6,43,2018-11-27
G,"Jimmy ButlerPhiSG, SF",,,,,,,,,6.24,99.7,0.0,6,43,2018-11-27
