pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",Orl,W 112-87,23,10,11,2,0,6,10.34,99.9,0.0,1,39,2018-11-23
G,John WallOWshPG,@Tor,L 107-125,32,3,11,1,2,11,,55.3,+2.2,1,39,2018-11-23
G,Ricky RubioOUtahPG,@LAL,L 83-90,25,1,5,2,1,7,-0.97,80.4,-4.9,1,39,2018-11-23
G,Eric BledsoeMilPG,Phx,L 114-116,30,3,7,1,1,12,3.63,96.5,0.0,1,39,2018-11-23
F,"Giannis AntetokounmpoMilPF, SF",Phx,L 114-116,36,10,3,1,0,35,4.84,99.8,-0.1,1,39,2018-11-23
F,Nikola MiroticOMilPF,Phx,L 114-116,30,9,2,1,1,19,-5.20,57.3,-1.0,1,39,2018-11-23
F,"Wendell Carter Jr.OChiPF, C",Mia,L 96-103,14,4,2,0,2,6,-5.20,48.4,+1.0,1,39,2018-11-23
UTIL,Nikola VucevicOrlC,@Den,L 87-112,28,8,0,1,0,16,4.36,97.8,-1.4,1,39,2018-11-23
UTIL,"Serge IbakaOKCPF, C",Cha,W 109-104,27,9,2,1,4,12,3.34,85.3,-3.2,1,39,2018-11-23
UTIL,JaVale McGeeLALC,Utah,W 90-83,27,4,0,3,2,12,7.27,70.8,-6.5,1,39,2018-11-23
Bench,John CollinsAtlPF,Bos,L 96-114,30,7,1,0,0,16,3.81,95.9,-1.3,1,39,2018-11-23
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,39,2018-11-23
Bench,"Gordon HaywardBosSF, SG",@Atl,W 114-96,22,5,4,0,2,11,1.91,84.4,-1.1,1,39,2018-11-23
C,Andre DrummondDetC,Hou,W 116-111,44,20,1,3,5,23,18.90,99.7,0.0,2,39,2018-11-23
G,"Devin BookerOPhxSG, PG",@Mil,W 116-114,39,4,7,3,0,29,1.12,84.7,-14.3,2,39,2018-11-23
G,Klay ThompsonGSSG,Por,W 125-97,33,7,1,2,1,31,1.34,97.9,-1.5,2,39,2018-11-23
G,Gary HarrisDenSG,Orl,W 112-87,25,2,2,0,0,9,2.16,55.4,-0.6,2,39,2018-11-23
F,"Kevin DurantGSSF, PF",Por,W 125-97,38,9,7,2,3,32,7.33,99.9,0.0,2,39,2018-11-23
F,Paul GeorgeDTDOKCSF,Cha,W 109-104,37,7,6,2,1,19,8.72,99.8,-0.1,2,39,2018-11-23
F,Robert CovingtonOMinSF,@Bkn,W 112-102,38,6,2,5,0,7,,25.4,-1.4,2,39,2018-11-23
