pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,170,2019-04-03
G,Empty,,,,,,,,,,,,1,170,2019-04-03
G,Empty,,,,,,,,,,,,1,170,2019-04-03
G,Empty,,,,,,,,,,,,1,170,2019-04-03
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,170,2019-04-03
F,Empty,,,,,,,,,,,,1,170,2019-04-03
F,Empty,,,,,,,,,,,,1,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,1,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,1,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,1,170,2019-04-03
Bench,"Nikola JokicDenC, PF",SA,W 113-85,29,11,9,0,0,20,10.34,99.9,0.0,1,170,2019-04-03
Bench,Nikola VucevicOrlC,NY,W 114-100,33,13,3,0,1,29,4.36,97.8,-1.4,1,170,2019-04-03
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,170,2019-04-03
Bench,DeMarcus CousinsNOC,Cha,L 109-115,,,,,,,8.77,90.4,-3.7,1,170,2019-04-03
Bench,Kris DunnOChiPG,@Wsh,W 115-114,,,,,,,-5.20,50.8,-1.1,1,170,2019-04-03
Bench,"D'Angelo RussellBknPG, SG",Tor,L 105-115,33,7,6,1,0,27,6.30,98.6,+0.2,1,170,2019-04-03
Bench,Kelly Oubre Jr.OPhxSF,Utah,L 97-118,,,,,,,,18.0,-2.7,1,170,2019-04-03
Bench,PJ TuckerHouSF,@LAC,W 135-103,27,4,0,2,2,0,0.81,6.4,-1.6,1,170,2019-04-03
Bench,Clint CapelaDTDHouC,@LAC,W 135-103,29,15,1,0,2,24,7.18,96.8,-2.1,1,170,2019-04-03
Bench,"Jonathan IsaacOrlPF, SF",NY,W 114-100,26,9,0,0,2,6,2.45,12.7,-5.0,1,170,2019-04-03
Bench,"Derrick FavorsUtahPF, C",@Phx,W 118-97,,,,,,,-2.56,71.6,-4.8,1,170,2019-04-03
Bench,Otto Porter Jr.OChiSF,@Wsh,W 115-114,,,,,,,,67.8,-1.7,1,170,2019-04-03
C,Empty,,,,,,,,,,,,2,170,2019-04-03
G,Empty,,,,,,,,,,,,2,170,2019-04-03
G,Empty,,,,,,,,,,,,2,170,2019-04-03
G,Empty,,,,,,,,,,,,2,170,2019-04-03
F,Empty,,,,,,,,,,,,2,170,2019-04-03
F,Empty,,,,,,,,,,,,2,170,2019-04-03
F,Empty,,,,,,,,,,,,2,170,2019-04-03
UTIL,Andre DrummondDetC,Ind,L 89-108,43,19,3,3,3,28,18.90,99.7,0.0,2,170,2019-04-03
UTIL,Kemba WalkerChaPG,@NO,W 115-109,35,3,7,2,0,32,7.08,99.9,0.0,2,170,2019-04-03
UTIL,Myles TurnerIndC,@Det,W 108-89,25,5,1,0,1,17,6.53,88.1,-3.3,2,170,2019-04-03
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,170,2019-04-03
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,170,2019-04-03
Bench,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,170,2019-04-03
Bench,"Luka DoncicDalSG, PF",Min,L 108-110,32,12,6,0,1,27,0.92,98.5,-0.2,2,170,2019-04-03
Bench,Lauri MarkkanenChiPF,@Wsh,W 115-114,,,,,,,,69.4,-1.4,2,170,2019-04-03
Bench,Pascal SiakamTorPF,@Bkn,W 115-105,36,10,5,0,0,28,1.39,91.4,-3.7,2,170,2019-04-03
Bench,Mitchell RobinsonNYC,@Orl,L 100-114,34,9,0,3,2,12,10.35,45.8,+8.7,2,170,2019-04-03
Bench,Paul MillsapDenPF,SA,W 113-85,21,5,3,1,0,3,2.58,88.4,-2.0,2,170,2019-04-03
Bench,"Thaddeus YoungIndPF, SF",@Det,W 108-89,35,8,4,2,0,21,2.59,69.4,-3.6,2,170,2019-04-03
Bench,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,2,170,2019-04-03
C,Empty,,,,,,,,,,,,3,170,2019-04-03
G,Empty,,,,,,,,,,,,3,170,2019-04-03
G,Empty,,,,,,,,,,,,3,170,2019-04-03
G,Empty,,,,,,,,,,,,3,170,2019-04-03
F,Empty,,,,,,,,,,,,3,170,2019-04-03
F,Empty,,,,,,,,,,,,3,170,2019-04-03
F,Empty,,,,,,,,,,,,3,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,3,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,3,170,2019-04-03
UTIL,Empty,,,,,,,,,,,,3,170,2019-04-03
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,170,2019-04-03
Bench,Karl-Anthony TownsMinC,@Dal,W 110-108,37,13,3,0,3,28,5.61,99.8,-0.1,3,170,2019-04-03
