pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,141,2019-03-05
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,141,2019-03-05
G,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,141,2019-03-05
G,Kris DunnOChiPG,@Ind,L 96-105,31,7,5,2,0,5,-5.20,50.8,-1.1,1,141,2019-03-05
F,"Jerami GrantOKCSF, PF",@Min,L 120-131,34,3,1,0,1,10,4.03,71.8,+1.9,1,141,2019-03-05
F,PJ TuckerHouSF,@Tor,W 107-95,36,5,3,1,0,8,0.81,6.4,-1.6,1,141,2019-03-05
F,"Jonathan IsaacOrlPF, SF",@Phi,L 106-114,32,5,1,0,1,16,2.45,12.7,-5.0,1,141,2019-03-05
UTIL,Nikola VucevicOrlC,@Phi,L 106-114,34,12,2,1,0,12,4.36,97.8,-1.4,1,141,2019-03-05
UTIL,DeMarcus CousinsGSC,Bos,L 95-128,25,9,4,0,0,10,8.77,90.4,-3.7,1,141,2019-03-05
UTIL,Clint CapelaDTDHouC,@Tor,W 107-95,34,15,1,1,1,9,7.18,96.8,-2.1,1,141,2019-03-05
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,141,2019-03-05
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,141,2019-03-05
Bench,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,1,141,2019-03-05
Bench,Kelly Oubre Jr.OPhxSF,,,,,,,,,,18.0,-2.7,1,141,2019-03-05
C,Empty,,,,,,,,,,,,2,141,2019-03-05
G,Stephen CurryGSPG,Bos,L 95-128,31,3,4,1,0,23,8.07,99.8,-0.1,2,141,2019-03-05
G,Kemba WalkerFAPG,,,,,,,,,7.08,99.9,0.0,2,141,2019-03-05
G,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,141,2019-03-05
F,Lauri MarkkanenChiPF,@Ind,L 96-105,34,13,2,0,0,14,,69.4,-1.4,2,141,2019-03-05
F,Pascal SiakamTorPF,Hou,L 95-107,38,10,3,0,0,17,1.39,91.4,-3.7,2,141,2019-03-05
F,"Thaddeus YoungIndPF, SF",Chi,W 105-96,37,10,6,0,0,11,2.59,69.4,-3.6,2,141,2019-03-05
UTIL,"Kevin DurantGSSF, PF",Bos,L 95-128,31,2,2,1,0,18,7.33,99.9,0.0,2,141,2019-03-05
UTIL,Myles TurnerIndC,Chi,W 105-96,36,11,2,0,7,10,6.53,88.1,-3.3,2,141,2019-03-05
UTIL,Jonas ValanciunasOMemC,Por,W 120-111,21,2,0,0,1,17,1.22,71.4,-4.9,2,141,2019-03-05
Bench,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,141,2019-03-05
