pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,34,2018-11-18
G,John WallOWshPG,Por,L 109-119,31,3,3,0,3,24,,55.3,+2.2,1,34,2018-11-18
G,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,34,2018-11-18
G,Empty,,,,,,,,,,,,1,34,2018-11-18
F,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,34,2018-11-18
F,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,34,2018-11-18
F,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,34,2018-11-18
UTIL,Nikola VucevicOrlC,NY,W 131-117,32,10,9,0,2,28,4.36,97.8,-1.4,1,34,2018-11-18
UTIL,"Serge IbakaOKCPF, C",,,,,,,,,3.34,85.3,-3.2,1,34,2018-11-18
UTIL,JaVale McGeeLALC,@Mia,W 113-97,24,3,2,2,0,6,7.27,70.8,-6.5,1,34,2018-11-18
Bench,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,34,2018-11-18
Bench,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,34,2018-11-18
Bench,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,34,2018-11-18
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,1.91,84.4,-1.1,1,34,2018-11-18
C,Dwight HowardOWshC,Por,L 109-119,7,3,0,0,0,2,,54.1,+1.2,2,34,2018-11-18
G,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,34,2018-11-18
G,Klay ThompsonGSSG,@SA,L 92-104,38,2,2,0,0,25,1.34,97.9,-1.5,2,34,2018-11-18
G,Gary HarrisDenSG,,,,,,,,,2.16,55.4,-0.6,2,34,2018-11-18
F,"Kevin DurantGSSF, PF",@SA,L 92-104,37,10,6,2,1,26,7.33,99.9,0.0,2,34,2018-11-18
F,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,34,2018-11-18
F,Robert CovingtonOMinSF,Mem,L 87-100,37,2,2,4,1,15,,25.4,-1.4,2,34,2018-11-18
UTIL,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,34,2018-11-18
UTIL,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,34,2018-11-18
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,34,2018-11-18
Bench,Stephen CurryGSPG,@SA,L 92-104,,,,,,,8.07,99.8,-0.1,2,34,2018-11-18
Bench,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,34,2018-11-18
Bench,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,34,2018-11-18
C,Karl-Anthony TownsMinC,Mem,L 87-100,38,20,2,0,1,15,5.61,99.8,-0.1,3,34,2018-11-18
G,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,34,2018-11-18
G,Bradley BealWshSG,Por,L 109-119,26,4,3,1,1,12,4.70,98.1,-1.7,3,34,2018-11-18
G,Lonzo BallOLALPG,@Mia,W 113-97,22,6,7,0,0,2,,63.0,+0.7,3,34,2018-11-18
