pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,11,2018-10-26
G,John WallOWshPG,@Sac,L 112-116,37,2,8,3,3,26,,55.3,+2.2,1,11,2018-10-26
G,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,11,2018-10-26
G,Eric BledsoeMilPG,@Min,W 125-95,21,6,9,0,0,6,3.63,96.5,0.0,1,11,2018-10-26
F,"Giannis AntetokounmpoMilPF, SF",@Min,W 125-95,23,12,6,0,2,15,4.84,99.8,-0.1,1,11,2018-10-26
F,"Draymond GreenDTDGSPF, C",@NY,W 128-100,32,4,6,3,1,18,10.19,95.3,-1.2,1,11,2018-10-26
F,Nikola MiroticOMilPF,@Min,W 125-95,23,8,1,1,1,10,-5.20,57.3,-1.0,1,11,2018-10-26
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,11,2018-10-26
UTIL,"Serge IbakaTorPF, C",Dal,W 116-107,26,8,1,0,2,11,3.34,85.3,-3.2,1,11,2018-10-26
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,11,2018-10-26
Bench,"Kevin LoveClePF, C",,,,,,,,,-3.61,82.2,-9.3,1,11,2018-10-26
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,1,11,2018-10-26
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,11,2018-10-26
C,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,11,2018-10-26
G,Stephen CurryGSPG,@NY,W 128-100,33,4,2,1,0,29,8.07,99.8,-0.1,2,11,2018-10-26
G,Kemba WalkerChaPG,Chi,W 135-106,26,6,7,0,0,30,7.08,99.9,0.0,2,11,2018-10-26
G,"Luka DoncicDalSG, PF",@Tor,L 107-116,35,5,4,0,0,22,0.92,98.5,-0.2,2,11,2018-10-26
F,"Kevin DurantGSSF, PF",@NY,W 128-100,36,9,5,0,0,41,7.33,99.9,0.0,2,11,2018-10-26
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,11,2018-10-26
F,Otto Porter Jr.OChiSF,@Cha,L 106-135,22,3,2,0,0,5,,67.8,-1.7,2,11,2018-10-26
UTIL,Gary HarrisDenSG,,,,,,,,,2.16,55.4,-0.6,2,11,2018-10-26
UTIL,Myles TurnerFAC,,,,,,,,,6.53,88.1,-3.3,2,11,2018-10-26
UTIL,Empty,,,,,,,,,,,,2,11,2018-10-26
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,11,2018-10-26
Bench,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,11,2018-10-26
Bench,Klay ThompsonGSSG,@NY,W 128-100,34,4,3,1,0,12,1.34,97.9,-1.5,2,11,2018-10-26
Bench,Dwight HowardOWshC,@Sac,L 112-116,,,,,,,,54.1,+1.2,2,11,2018-10-26
C,Karl-Anthony TownsMinC,Mil,L 95-125,27,7,1,1,2,16,5.61,99.8,-0.1,3,11,2018-10-26
G,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,11,2018-10-26
G,Chris PaulHouPG,LAC,L 113-133,34,6,8,2,0,12,7.78,97.8,-1.2,3,11,2018-10-26
G,Bradley BealWshSG,@Sac,L 112-116,39,5,0,2,0,21,4.70,98.1,-1.7,3,11,2018-10-26
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,11,2018-10-26
F,"Khris MiddletonMilSF, SG",@Min,W 125-95,25,4,1,2,1,16,1.81,98.9,+0.5,3,11,2018-10-26
F,"Gordon HaywardBosSF, SG",,,,,,,,,1.91,84.4,-1.1,3,11,2018-10-26
UTIL,"Kyle KuzmaOLALPF, SF",,,,,,,,,-3.39,84.4,-7.3,3,11,2018-10-26
UTIL,Zach LaVineOChiSG,@Cha,L 106-135,26,3,4,0,0,20,,80.6,-4.6,3,11,2018-10-26
UTIL,De'Aaron FoxSacPG,Wsh,W 116-112,30,1,9,1,0,18,8.07,97.3,-1.0,3,11,2018-10-26
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,11,2018-10-26
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,11,2018-10-26
Bench,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,11,2018-10-26
C,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,11,2018-10-26
G,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,11,2018-10-26
G,Kyle LowryTorPG,Dal,W 116-107,36,4,12,0,1,20,4.23,97.1,-1.6,4,11,2018-10-26
G,Elfrid PaytonNOPG,Bkn,W 117-115,31,5,6,0,0,17,4.39,76.9,-3.3,4,11,2018-10-26
F,"DeMar DeRozanSASG, SF",,,,,,,,,5.87,99.7,-0.1,4,11,2018-10-26
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,11,2018-10-26
F,"Tim Hardaway Jr.ODalSG, SF",@Tor,L 107-116,35,2,4,0,0,24,,59.8,-0.7,4,11,2018-10-26
UTIL,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,11,2018-10-26
UTIL,Jarrett AllenBknC,@NO,L 115-117,28,9,4,2,2,7,2.16,81.5,+1.5,4,11,2018-10-26
UTIL,Jusuf NurkicOPorC,,,,,,,,,,65.9,-1.1,4,11,2018-10-26
Bench,"James HardenHouSG, PG",LAC,L 113-133,,,,,,,9.59,99.8,-0.1,4,11,2018-10-26
Bench,Lauri MarkkanenChiPF,@Cha,L 106-135,,,,,,,,69.4,-1.4,4,11,2018-10-26
Bench,"Jerami GrantOKCSF, PF",,,,,,,,,4.03,71.8,+1.9,4,11,2018-10-26
C,Al HorfordDTDBosC,,,,,,,,,3.25,89.6,-3.4,5,11,2018-10-26
G,Damian LillardPorPG,,,,,,,,,7.24,99.8,-0.1,5,11,2018-10-26
G,Kyrie IrvingBosPG,,,,,,,,,2.31,96.0,-3.5,5,11,2018-10-26
G,Trae YoungAtlPG,,,,,,,,,6.33,97.0,-0.6,5,11,2018-10-26
F,Kawhi LeonardSASF,,,35,9,5,3,1,21,1.20,98.8,-0.6,5,11,2018-10-26
F,"Brandon IngramOLALSF, SG",,,,,,,,,,65.5,+0.7,5,11,2018-10-26
F,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,5,11,2018-10-26
UTIL,"Anthony DavisONOPF, C",Bkn,W 117-115,38,14,3,4,5,18,-5.20,91.0,-6.3,5,11,2018-10-26
UTIL,Clint CapelaDTDHouC,LAC,L 113-133,34,15,1,2,1,14,7.18,96.8,-2.1,5,11,2018-10-26
UTIL,Hassan WhitesideMiaC,,,,,,,,,4.61,91.6,+1.7,5,11,2018-10-26
Bench,"Donovan MitchellDTDUtahSG, PG",,,,,,,,,6.01,98.5,-0.5,5,11,2018-10-26
Bench,Goran DragicMiaPG,,,,,,,,,7.23,76.8,+2.4,5,11,2018-10-26
Bench,Marc GasolTorC,Dal,W 116-107,,,,,,,3.00,94.0,-1.5,5,11,2018-10-26
C,Enes KanterPorC,,,20,13,2,0,0,8,6.60,92.0,+2.7,6,11,2018-10-26
G,"Jimmy ButlerPhiSG, SF",,,24,5,2,2,1,4,-0.19,97.7,-1.7,6,11,2018-10-26
G,CJ McCollumPorSG,,,,,,,,,-3.19,89.1,+4.0,6,11,2018-10-26
G,"Jamal MurrayDenPG, SG",,,,,,,,,7.01,95.6,-0.1,6,11,2018-10-26
F,"LeBron JamesOCleSF, PF",,,,,,,,,-3.82,85.5,-2.8,6,11,2018-10-26
F,"Ben SimmonsDTDPhiPG, SF",,,,,,,,,8.18,98.4,-1.4,6,11,2018-10-26
F,Blake GriffinDTDDetPF,,,,,,,,,0.18,97.2,-1.3,6,11,2018-10-26
UTIL,DeAndre JordanNYC,GS,L 100-128,34,15,5,0,1,18,-4.50,86.6,-3.8,6,11,2018-10-26
UTIL,"Andrew WigginsMinSF, SG",Mil,L 95-125,,,,,,,5.65,92.1,+1.6,6,11,2018-10-26
UTIL,"Nicolas BatumChaSG, SF",Chi,W 135-106,31,8,5,2,1,10,-2.03,64.4,+0.4,6,11,2018-10-26
Bench,"Jrue HolidayONOPG, SG",Bkn,W 117-115,38,3,5,1,1,26,,75.9,-1.0,6,11,2018-10-26
Bench,"Julius RandleNOPF, C",Bkn,W 117-115,23,7,3,1,2,14,1.38,95.3,-3.6,6,11,2018-10-26
Bench,"Tobias HarrisPhiPF, SF",,,27,9,1,0,1,15,2.47,97.4,-2.0,6,11,2018-10-26
