pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,44,2018-11-28
G,John WallOWshPG,@NO,L 104-125,26,5,7,0,0,17,,55.3,+2.2,1,44,2018-11-28
G,Ricky RubioOUtahPG,@Bkn,W 101-91,32,3,4,0,0,6,-0.97,80.4,-4.9,1,44,2018-11-28
G,Eric BledsoeMilPG,Chi,W 116-113,29,6,4,1,1,7,3.63,96.5,0.0,1,44,2018-11-28
F,"Giannis AntetokounmpoMilPF, SF",Chi,W 116-113,34,11,8,2,1,36,4.84,99.8,-0.1,1,44,2018-11-28
F,John CollinsAtlPF,@Cha,L 94-108,31,10,4,1,0,9,3.81,95.9,-1.3,1,44,2018-11-28
F,"Wendell Carter Jr.OChiPF, C",@Mil,L 113-116,24,7,3,0,0,6,-5.20,48.4,+1.0,1,44,2018-11-28
UTIL,Nikola VucevicOrlC,@Por,L 112-115,29,8,7,0,2,20,4.36,97.8,-1.4,1,44,2018-11-28
UTIL,Nikola MiroticOMilPF,Chi,W 116-113,28,9,2,2,1,15,-5.20,57.3,-1.0,1,44,2018-11-28
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,44,2018-11-28
Bench,"Serge IbakaTorPF, C",,,,,,,,,3.34,85.3,-3.2,1,44,2018-11-28
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,44,2018-11-28
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,1.91,84.4,-1.1,1,44,2018-11-28
C,Deandre AytonOPhxC,@LAC,L 99-115,30,9,0,2,3,4,-2.35,84.9,-7.1,2,44,2018-11-28
G,Kemba WalkerChaPG,Atl,W 108-94,34,4,3,4,1,19,7.08,99.9,0.0,2,44,2018-11-28
G,"Devin BookerOPhxSG, PG",@LAC,L 99-115,35,4,4,1,0,23,1.12,84.7,-14.3,2,44,2018-11-28
G,"Luka DoncicDalSG, PF",@Hou,W 128-108,24,6,2,1,0,20,0.92,98.5,-0.2,2,44,2018-11-28
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,44,2018-11-28
F,Paul GeorgeDTDOKCSF,Cle,W 100-83,25,4,4,0,2,18,8.72,99.8,-0.1,2,44,2018-11-28
F,Robert CovingtonOMinSF,SA,W 128-89,31,9,1,1,2,21,,25.4,-1.4,2,44,2018-11-28
UTIL,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,44,2018-11-28
UTIL,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,44,2018-11-28
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,44,2018-11-28
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,44,2018-11-28
Bench,Gary HarrisDenSG,,,,,,,,,2.16,55.4,-0.6,2,44,2018-11-28
Bench,Lauri MarkkanenChiPF,@Mil,L 113-116,,,,,,,,69.4,-1.4,2,44,2018-11-28
C,Karl-Anthony TownsMinC,SA,W 128-89,28,11,5,2,1,16,5.61,99.8,-0.1,3,44,2018-11-28
G,Russell WestbrookOKCPG,Cle,W 100-83,37,18,15,2,0,23,15.16,99.9,0.0,3,44,2018-11-28
G,Chris PaulHouPG,Dal,L 108-128,,,,,,,7.78,97.8,-1.2,3,44,2018-11-28
G,Bradley BealWshSG,@NO,L 104-125,35,5,11,2,1,16,4.70,98.1,-1.7,3,44,2018-11-28
F,"LaMarcus AldridgeSAPF, C",@Min,L 89-128,25,9,2,0,0,10,6.85,99.7,-0.1,3,44,2018-11-28
F,"Khris MiddletonMilSF, SG",Chi,W 116-113,31,6,4,0,0,17,1.81,98.9,+0.5,3,44,2018-11-28
F,"Montrezl HarrellLACC, PF",Phx,W 115-99,29,6,3,1,2,18,3.59,89.7,-1.4,3,44,2018-11-28
UTIL,Rudy GobertDTDUtahC,@Bkn,W 101-91,33,16,3,1,4,23,11.36,97.7,-1.2,3,44,2018-11-28
UTIL,Zach LaVineOChiSG,@Mil,L 113-116,36,9,7,0,1,24,,80.6,-4.6,3,44,2018-11-28
UTIL,Aaron GordonOrlPF,@Por,L 112-115,,,,,,,5.90,95.8,+0.1,3,44,2018-11-28
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,44,2018-11-28
Bench,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,44,2018-11-28
Bench,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,3,44,2018-11-28
C,Joel EmbiidDTDPhiC,NY,W 117-91,30,14,7,1,1,26,3.83,99.7,0.0,4,44,2018-11-28
G,"James HardenHouSG, PG",Dal,L 108-128,37,11,17,6,0,25,9.59,99.8,-0.1,4,44,2018-11-28
G,Kyle LowryTorPG,,,,,,,,,4.23,97.1,-1.6,4,44,2018-11-28
G,Jeff TeagueOMinPG,SA,W 128-89,24,0,9,3,1,7,,56.1,-0.5,4,44,2018-11-28
F,"DeMar DeRozanSASG, SF",@Min,L 89-128,28,2,2,0,4,10,5.87,99.7,-0.1,4,44,2018-11-28
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,44,2018-11-28
F,"Jaren Jackson Jr.OMemPF, C",,,,,,,,,,38.3,-0.9,4,44,2018-11-28
UTIL,Steven AdamsOKCC,Cle,W 100-83,33,6,1,1,2,6,6.44,95.7,+0.3,4,44,2018-11-28
UTIL,Jarrett AllenBknC,Utah,L 91-101,29,10,1,0,0,14,2.16,81.5,+1.5,4,44,2018-11-28
UTIL,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,4,44,2018-11-28
Bench,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,44,2018-11-28
Bench,Jusuf NurkicOPorC,Orl,W 115-112,33,13,5,1,0,16,,65.9,-1.1,4,44,2018-11-28
Bench,"Josh RichardsonOMiaSF, SG",,,,,,,,,-4.30,65.7,-4.6,4,44,2018-11-28
C,Marc GasolTorC,,,,,,,,,3.00,94.0,-1.5,5,44,2018-11-28
G,Damian LillardPorPG,Orl,W 115-112,37,8,4,2,1,41,7.24,99.8,-0.1,5,44,2018-11-28
G,"Donovan MitchellDTDUtahSG, PG",@Bkn,W 101-91,36,5,1,4,0,29,6.01,98.5,-0.5,5,44,2018-11-28
G,Trae YoungAtlPG,@Cha,L 94-108,28,3,4,2,1,18,6.33,97.0,-0.6,5,44,2018-11-28
F,"Anthony DavisONOPF, C",Wsh,W 125-104,34,15,3,1,2,28,-5.20,91.0,-6.3,5,44,2018-11-28
F,Kawhi LeonardTorSF,,,,,,,,,1.20,98.8,-0.6,5,44,2018-11-28
F,"Domantas SabonisIndPF, C",,,,,,,,,3.36,91.8,-1.5,5,44,2018-11-28
UTIL,Clint CapelaDTDHouC,Dal,L 108-128,33,8,2,0,2,18,7.18,96.8,-2.1,5,44,2018-11-28
UTIL,Al HorfordDTDBosC,,,,,,,,,3.25,89.6,-3.4,5,44,2018-11-28
UTIL,Lou WilliamsLACSG,Phx,W 115-99,22,4,3,2,0,20,2.44,95.9,-0.9,5,44,2018-11-28
Bench,Kyrie IrvingBosPG,,,,,,,,,2.31,96.0,-3.5,5,44,2018-11-28
Bench,Hassan WhitesideMiaC,,,,,,,,,4.61,91.6,+1.7,5,44,2018-11-28
Bench,Goran DragicMiaPG,,,,,,,,,7.23,76.8,+2.4,5,44,2018-11-28
C,Enes KanterPorC,Orl,W 115-112,26,6,1,0,0,17,6.60,92.0,+2.7,6,44,2018-11-28
G,"Jimmy ButlerPhiSG, SF",NY,W 117-91,25,4,2,1,1,7,-0.19,97.7,-1.7,6,44,2018-11-28
G,CJ McCollumPorSG,Orl,W 115-112,35,6,2,1,0,15,-3.19,89.1,+4.0,6,44,2018-11-28
G,"Jamal MurrayDenPG, SG",,,,,,,,,7.01,95.6,-0.1,6,44,2018-11-28
F,"LeBron JamesOLALSF, PF",,,,,,,,,-3.82,85.5,-2.8,6,44,2018-11-28
F,"Ben SimmonsDTDPhiPG, SF",NY,W 117-91,24,8,7,1,0,14,8.18,98.4,-1.4,6,44,2018-11-28
F,Blake GriffinDTDDetPF,,,,,,,,,0.18,97.2,-1.3,6,44,2018-11-28
UTIL,DeAndre JordanLACC,Phx,W 115-99,24,7,1,0,2,13,-4.50,86.6,-3.8,6,44,2018-11-28
UTIL,"Andrew WigginsMinSF, SG",SA,W 128-89,30,3,1,2,0,10,5.65,92.1,+1.6,6,44,2018-11-28
UTIL,"Nicolas BatumChaSG, SF",Atl,W 108-94,33,6,3,2,1,13,-2.03,64.4,+0.4,6,44,2018-11-28
Bench,"Jrue HolidayONOPG, SG",Wsh,W 125-104,36,7,5,1,1,29,,75.9,-1.0,6,44,2018-11-28
Bench,"Julius RandleLALPF, C",,,26,12,0,1,1,23,1.38,95.3,-3.6,6,44,2018-11-28
Bench,"Tobias HarrisPhiPF, SF",NY,W 117-91,35,10,3,0,0,18,2.47,97.4,-2.0,6,44,2018-11-28
