pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,52,2018-12-06
G,John WallOWshPG,,,,,,,,,,55.3,+2.2,1,52,2018-12-06
G,Ricky RubioOUtahPG,Hou,W 118-91,24,3,6,1,0,13,-0.97,80.4,-4.9,1,52,2018-12-06
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,52,2018-12-06
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,52,2018-12-06
F,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,52,2018-12-06
F,Nikola MiroticOMilPF,,,,,,,,,-5.20,57.3,-1.0,1,52,2018-12-06
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,52,2018-12-06
UTIL,"Serge IbakaTorPF, C",,,,,,,,,3.34,85.3,-3.2,1,52,2018-12-06
UTIL,"Gordon HaywardBosSF, SG",NY,W 128-100,25,6,4,0,0,8,1.91,84.4,-1.1,1,52,2018-12-06
Bench,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,52,2018-12-06
Bench,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,52,2018-12-06
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,52,2018-12-06
C,Deandre AytonOPhxC,@Por,L 86-108,27,8,3,1,1,11,-2.35,84.9,-7.1,2,52,2018-12-06
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,52,2018-12-06
G,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,52,2018-12-06
G,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,52,2018-12-06
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,52,2018-12-06
F,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,52,2018-12-06
F,Robert CovingtonOMinSF,,,,,,,,,,25.4,-1.4,2,52,2018-12-06
UTIL,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,52,2018-12-06
UTIL,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,52,2018-12-06
UTIL,Tristan ThompsonCleC,,,,,,,,,-2.41,22.4,-3.5,2,52,2018-12-06
Bench,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,52,2018-12-06
Bench,"Devin BookerOPhxSG, PG",@Por,L 86-108,,,,,,,1.12,84.7,-14.3,2,52,2018-12-06
Bench,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,52,2018-12-06
C,Rudy GobertDTDUtahC,Hou,W 118-91,3,1,1,0,0,2,11.36,97.7,-1.2,3,52,2018-12-06
G,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,52,2018-12-06
G,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,52,2018-12-06
G,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,52,2018-12-06
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,52,2018-12-06
F,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,52,2018-12-06
F,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,52,2018-12-06
UTIL,Chris PaulHouPG,@Utah,L 91-118,25,1,5,0,0,12,7.78,97.8,-1.2,3,52,2018-12-06
UTIL,Lonzo BallOLALPG,,,,,,,,,,63.0,+0.7,3,52,2018-12-06
UTIL,"Montrezl HarrellLACC, PF",,,,,,,,,3.59,89.7,-1.4,3,52,2018-12-06
Bench,Karl-Anthony TownsMinC,,,,,,,,,5.61,99.8,-0.1,3,52,2018-12-06
Bench,Zach LaVineOChiSG,,,,,,,,,,80.6,-4.6,3,52,2018-12-06
Bench,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,52,2018-12-06
C,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,52,2018-12-06
G,"James HardenHouSG, PG",@Utah,L 91-118,28,6,2,0,0,15,9.59,99.8,-0.1,4,52,2018-12-06
G,Kyle LowryTorPG,,,,,,,,,4.23,97.1,-1.6,4,52,2018-12-06
G,Jeff TeagueOMinPG,,,,,,,,,,56.1,-0.5,4,52,2018-12-06
F,"DeMar DeRozanSASG, SF",,,,,,,,,5.87,99.7,-0.1,4,52,2018-12-06
F,"Jayson TatumBosSF, PF",NY,W 128-100,26,5,2,2,0,17,1.38,93.8,-4.2,4,52,2018-12-06
F,"Jabari ParkerOWshPF, SF",,,,,,,,,0.18,72.9,-8.8,4,52,2018-12-06
UTIL,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,52,2018-12-06
UTIL,Jarrett AllenBknC,,,,,,,,,2.16,81.5,+1.5,4,52,2018-12-06
UTIL,Jusuf NurkicOPorC,Phx,W 108-86,23,14,2,1,1,9,,65.9,-1.1,4,52,2018-12-06
Bench,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,52,2018-12-06
Bench,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,4,52,2018-12-06
