pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,168,2019-04-01
G,Empty,,,,,,,,,,,,1,168,2019-04-01
G,Empty,,,,,,,,,,,,1,168,2019-04-01
G,Empty,,,,,,,,,,,,1,168,2019-04-01
F,"Giannis AntetokounmpoMilPF, SF",@Bkn,W 131-121,30,11,2,1,1,28,4.84,99.8,-0.1,1,168,2019-04-01
F,Empty,,,,,,,,,,,,1,168,2019-04-01
F,Empty,,,,,,,,,,,,1,168,2019-04-01
UTIL,Empty,,,,,,,,,,,,1,168,2019-04-01
UTIL,Empty,,,,,,,,,,,,1,168,2019-04-01
UTIL,Empty,,,,,,,,,,,,1,168,2019-04-01
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,168,2019-04-01
Bench,Nikola VucevicOrlC,@Tor,L 109-121,26,13,3,0,0,13,4.36,97.8,-1.4,1,168,2019-04-01
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,168,2019-04-01
Bench,DeMarcus CousinsNOC,,,,,,,,,8.77,90.4,-3.7,1,168,2019-04-01
Bench,Kris DunnOChiPG,@NY,L 105-113,,,,,,,-5.20,50.8,-1.1,1,168,2019-04-01
Bench,"D'Angelo RussellBknPG, SG",Mil,L 121-131,35,10,3,1,0,28,6.30,98.6,+0.2,1,168,2019-04-01
Bench,Kelly Oubre Jr.OPhxSF,Cle,W 122-113,,,,,,,,18.0,-2.7,1,168,2019-04-01
Bench,PJ TuckerHouSF,,,,,,,,,0.81,6.4,-1.6,1,168,2019-04-01
Bench,Clint CapelaDTDHouC,,,,,,,,,7.18,96.8,-2.1,1,168,2019-04-01
Bench,"Jonathan IsaacOrlPF, SF",@Tor,L 109-121,30,4,2,3,3,8,2.45,12.7,-5.0,1,168,2019-04-01
Bench,"Derrick FavorsUtahPF, C",Cha,W 111-102,,,,,,,-2.56,71.6,-4.8,1,168,2019-04-01
Bench,Otto Porter Jr.OChiSF,@NY,L 105-113,,,,,,,,67.8,-1.7,1,168,2019-04-01
C,Empty,,,,,,,,,,,,2,168,2019-04-01
G,Empty,,,,,,,,,,,,2,168,2019-04-01
G,Empty,,,,,,,,,,,,2,168,2019-04-01
G,Empty,,,,,,,,,,,,2,168,2019-04-01
F,Empty,,,,,,,,,,,,2,168,2019-04-01
F,Empty,,,,,,,,,,,,2,168,2019-04-01
F,Empty,,,,,,,,,,,,2,168,2019-04-01
UTIL,Andre DrummondDetC,@Ind,L 102-111,37,17,5,4,0,18,18.90,99.7,0.0,2,168,2019-04-01
UTIL,Kemba WalkerChaPG,@Utah,L 102-111,37,5,3,0,0,47,7.08,99.9,0.0,2,168,2019-04-01
UTIL,"Thaddeus YoungIndPF, SF",Det,W 111-102,34,9,5,0,0,19,2.59,69.4,-3.6,2,168,2019-04-01
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,168,2019-04-01
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,168,2019-04-01
Bench,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,168,2019-04-01
