pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,Phi,W 111-106,39,8,4,2,0,30,4.36,97.8,-1.4,1,30,2018-11-14
G,John WallOWshPG,Cle,W 119-95,21,5,9,2,1,8,,55.3,+2.2,1,30,2018-11-14
G,Ricky RubioOUtahPG,@Dal,L 68-118,25,3,3,4,0,11,-0.97,80.4,-4.9,1,30,2018-11-14
G,Eric BledsoeMilPG,Mem,L 113-116,30,6,7,2,0,15,3.63,96.5,0.0,1,30,2018-11-14
F,"Giannis AntetokounmpoMilPF, SF",Mem,L 113-116,35,9,4,1,2,31,4.84,99.8,-0.1,1,30,2018-11-14
F,Nikola MiroticOMilPF,Mem,L 113-116,34,10,1,1,0,16,-5.20,57.3,-1.0,1,30,2018-11-14
F,"Wendell Carter Jr.OChiPF, C",@Bos,L 82-111,26,7,0,0,1,11,-5.20,48.4,+1.0,1,30,2018-11-14
UTIL,Lonzo BallOLALPG,Por,W 126-117,32,6,3,1,0,11,,63.0,+0.7,1,30,2018-11-14
UTIL,"Serge IbakaOKCPF, C",NY,W 128-103,,,,,,,3.34,85.3,-3.2,1,30,2018-11-14
UTIL,JaVale McGeeLALC,Por,W 126-117,24,4,0,2,2,20,7.27,70.8,-6.5,1,30,2018-11-14
Bench,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,30,2018-11-14
Bench,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,1,30,2018-11-14
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,30,2018-11-14
C,Andre DrummondDetC,@Tor,W 106-104,36,12,2,0,1,11,18.90,99.7,0.0,2,30,2018-11-14
G,"Devin BookerOPhxSG, PG",SA,W 116-96,37,4,12,2,0,13,1.12,84.7,-14.3,2,30,2018-11-14
G,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,30,2018-11-14
G,Gary HarrisDenSG,,,,,,,,,2.16,55.4,-0.6,2,30,2018-11-14
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,30,2018-11-14
F,Paul GeorgeDTDOKCSF,NY,W 128-103,29,7,5,2,1,35,8.72,99.8,-0.1,2,30,2018-11-14
F,"Luka DoncicDalSG, PF",Utah,W 118-68,25,6,2,2,1,13,0.92,98.5,-0.2,2,30,2018-11-14
UTIL,Deandre AytonOPhxC,SA,W 116-96,30,10,3,1,0,17,-2.35,84.9,-7.1,2,30,2018-11-14
UTIL,Dwight HowardOOrlC,Phi,W 111-106,20,7,0,0,0,10,,54.1,+1.2,2,30,2018-11-14
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,30,2018-11-14
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,30,2018-11-14
Bench,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,30,2018-11-14
Bench,Robert CovingtonOMinSF,NO,W 107-100,41,7,2,2,1,13,,25.4,-1.4,2,30,2018-11-14
C,Karl-Anthony TownsMinC,NO,W 107-100,35,16,3,0,2,25,5.61,99.8,-0.1,3,30,2018-11-14
G,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,30,2018-11-14
G,Bradley BealWshSG,Cle,W 119-95,28,3,3,3,0,20,4.70,98.1,-1.7,3,30,2018-11-14
G,Empty,,,,,,,,,,,,3,30,2018-11-14
F,"LaMarcus AldridgeSAPF, C",@Phx,L 96-116,29,12,0,0,0,6,6.85,99.7,-0.1,3,30,2018-11-14
F,"Khris MiddletonMilSF, SG",Mem,L 113-116,32,5,3,0,0,25,1.81,98.9,+0.5,3,30,2018-11-14
F,Empty,,,,,,,,,,,,3,30,2018-11-14
UTIL,Rudy GobertDTDUtahC,@Dal,L 68-118,26,11,2,3,0,10,11.36,97.7,-1.2,3,30,2018-11-14
UTIL,Zach LaVineOChiSG,@Bos,L 82-111,32,9,4,1,0,10,,80.6,-4.6,3,30,2018-11-14
UTIL,Aaron GordonOrlPF,Phi,W 111-106,32,6,6,1,2,17,5.90,95.8,+0.1,3,30,2018-11-14
Bench,Russell WestbrookOKCPG,NY,W 128-103,,,,,,,15.16,99.9,0.0,3,30,2018-11-14
Bench,"Gordon HaywardBosSF, SG",Chi,W 111-82,29,4,4,3,0,11,1.91,84.4,-1.1,3,30,2018-11-14
Bench,Mike ConleyOMemPG,@Mil,W 116-113,36,2,4,2,0,26,-2.26,87.3,-9.2,3,30,2018-11-14
Bench,"Kyle KuzmaOLALPF, SF",Por,W 126-117,25,5,0,1,0,7,-3.39,84.4,-7.3,3,30,2018-11-14
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,3,30,2018-11-14
C,Joel EmbiidDTDPhiC,@Orl,L 106-111,36,13,10,0,2,19,3.83,99.7,0.0,4,30,2018-11-14
G,"James HardenHouSG, PG",,,,,,,,,9.59,99.8,-0.1,4,30,2018-11-14
G,Victor OladipoOIndSG,,,,,,,,,,53.3,+2.0,4,30,2018-11-14
G,Kyle LowryTorPG,Det,L 104-106,38,7,7,0,0,14,4.23,97.1,-1.6,4,30,2018-11-14
F,"DeMar DeRozanSASG, SF",@Phx,L 96-116,32,5,4,0,0,24,5.87,99.7,-0.1,4,30,2018-11-14
F,"Jayson TatumBosSF, PF",Chi,W 111-82,27,6,0,1,0,14,1.38,93.8,-4.2,4,30,2018-11-14
F,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,4,30,2018-11-14
UTIL,Steven AdamsOKCC,NY,W 128-103,30,6,5,2,0,19,6.44,95.7,+0.3,4,30,2018-11-14
UTIL,Jarrett AllenBknC,Mia,L 107-120,,,,,,,2.16,81.5,+1.5,4,30,2018-11-14
UTIL,Jusuf NurkicOPorC,@LAL,L 117-126,35,14,1,3,4,21,,65.9,-1.1,4,30,2018-11-14
Bench,"Caris LeVertBknSF, SG",Mia,L 107-120,,,,,,,3.12,39.7,+3.6,4,30,2018-11-14
Bench,"Josh RichardsonOMiaSF, SG",@Bkn,W 120-107,36,5,5,0,0,15,-4.30,65.7,-4.6,4,30,2018-11-14
Bench,"Derrick RoseOMinPG, SG",NO,W 107-100,,,,,,,,49.3,-1.7,4,30,2018-11-14
C,Al HorfordDTDBosC,Chi,W 111-82,20,8,3,1,2,10,3.25,89.6,-3.4,5,30,2018-11-14
G,Damian LillardPorPG,@LAL,L 117-126,38,8,11,0,1,31,7.24,99.8,-0.1,5,30,2018-11-14
G,Kyrie IrvingBosPG,Chi,W 111-82,28,6,7,2,0,17,2.31,96.0,-3.5,5,30,2018-11-14
G,"Donovan MitchellDTDUtahSG, PG",@Dal,L 68-118,25,3,3,0,1,10,6.01,98.5,-0.5,5,30,2018-11-14
F,"Anthony DavisONOPF, C",@Min,L 100-107,41,11,2,2,4,29,-5.20,91.0,-6.3,5,30,2018-11-14
F,Kawhi LeonardTorSF,Det,L 104-106,35,9,4,3,0,26,1.20,98.8,-0.6,5,30,2018-11-14
F,"Joe InglesUtahSF, SG",@Dal,L 68-118,25,3,2,0,0,8,5.45,85.1,+4.0,5,30,2018-11-14
UTIL,Hassan WhitesideMiaC,@Bkn,W 120-107,22,10,0,2,2,14,4.61,91.6,+1.7,5,30,2018-11-14
UTIL,Goran DragicMiaPG,@Bkn,W 120-107,29,3,4,0,0,21,7.23,76.8,+2.4,5,30,2018-11-14
UTIL,Marc GasolTorC,Det,L 104-106,38,5,2,1,1,29,3.00,94.0,-1.5,5,30,2018-11-14
Bench,Clint CapelaDTDHouC,,,,,,,,,7.18,96.8,-2.1,5,30,2018-11-14
Bench,Trae YoungAtlPG,,,,,,,,,6.33,97.0,-0.6,5,30,2018-11-14
Bench,Lou WilliamsLACSG,,,,,,,,,2.44,95.9,-0.9,5,30,2018-11-14
C,Enes KanterPorC,@LAL,L 117-126,22,5,1,0,0,19,6.60,92.0,+2.7,6,30,2018-11-14
G,"Jimmy ButlerPhiSG, SF",@Orl,L 106-111,33,4,2,0,0,14,-0.19,97.7,-1.7,6,30,2018-11-14
G,CJ McCollumPorSG,@LAL,L 117-126,35,1,4,2,0,23,-3.19,89.1,+4.0,6,30,2018-11-14
G,"Jamal MurrayDenPG, SG",,,,,,,,,7.01,95.6,-0.1,6,30,2018-11-14
F,"LeBron JamesOLALSF, PF",Por,W 126-117,36,10,9,1,3,44,-3.82,85.5,-2.8,6,30,2018-11-14
F,"Ben SimmonsDTDPhiPG, SF",@Orl,L 106-111,31,3,6,0,1,9,8.18,98.4,-1.4,6,30,2018-11-14
F,Blake GriffinDTDDetPF,@Tor,W 106-104,40,12,3,3,2,30,0.18,97.2,-1.3,6,30,2018-11-14
UTIL,DeAndre JordanNYC,@OKC,L 103-128,22,10,4,1,0,4,-4.50,86.6,-3.8,6,30,2018-11-14
UTIL,"Andrew WigginsMinSF, SG",NO,W 107-100,38,6,4,3,1,23,5.65,92.1,+1.6,6,30,2018-11-14
UTIL,"Nicolas BatumChaSG, SF",,,,,,,,,-2.03,64.4,+0.4,6,30,2018-11-14
Bench,"Jrue HolidayONOPG, SG",@Min,L 100-107,39,4,10,0,2,14,,75.9,-1.0,6,30,2018-11-14
Bench,"Julius RandleNOPF, C",@Min,L 100-107,14,3,0,0,0,3,1.38,95.3,-3.6,6,30,2018-11-14
Bench,"Tobias HarrisPhiPF, SF",@Orl,L 106-111,,,,,,,2.47,97.4,-2.0,6,30,2018-11-14
