pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",LAC,W 121-100,28,14,10,0,2,18,10.34,99.9,0.0,1,87,2019-01-10
G,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,87,2019-01-10
G,De'Aaron FoxSacPG,Det,W 112-102,24,5,6,1,1,12,8.07,97.3,-1.0,1,87,2019-01-10
G,Kris DunnOChiPG,,,,,,,,,-5.20,50.8,-1.1,1,87,2019-01-10
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,87,2019-01-10
F,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,87,2019-01-10
F,"Larry Nance Jr.ClePF, C",,,,,,,,,7.44,48.4,+1.9,1,87,2019-01-10
UTIL,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,87,2019-01-10
UTIL,JaVale McGeeLALC,,,,,,,,,7.27,70.8,-6.5,1,87,2019-01-10
UTIL,"Wendell Carter Jr.OChiPF, C",,,,,,,,,-5.20,48.4,+1.0,1,87,2019-01-10
Bench,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,87,2019-01-10
Bench,"Serge IbakaTorPF, C",,,,,,,,,3.34,85.3,-3.2,1,87,2019-01-10
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,87,2019-01-10
C,Andre DrummondDetC,@Sac,L 102-112,31,11,2,0,1,12,18.90,99.7,0.0,2,87,2019-01-10
G,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,87,2019-01-10
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,87,2019-01-10
G,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,87,2019-01-10
F,Paul GeorgeDTDOKCSF,@SA,L 147-154,47,8,1,3,0,30,8.72,99.8,-0.1,2,87,2019-01-10
F,Lauri MarkkanenChiPF,,,,,,,,,,69.4,-1.4,2,87,2019-01-10
F,"Montrezl HarrellLACC, PF",@Den,L 100-121,22,6,0,0,1,16,3.59,89.7,-1.4,2,87,2019-01-10
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,87,2019-01-10
UTIL,"Luka DoncicDalSG, PF",,,,,,,,,0.92,98.5,-0.2,2,87,2019-01-10
UTIL,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,87,2019-01-10
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,87,2019-01-10
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,87,2019-01-10
Bench,Robert CovingtonOMinSF,,,,,,,,,,25.4,-1.4,2,87,2019-01-10
C,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,87,2019-01-10
G,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,87,2019-01-10
G,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,87,2019-01-10
G,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,87,2019-01-10
F,"LaMarcus AldridgeSAPF, C",OKC,W 154-147,49,9,4,0,4,56,6.85,99.7,-0.1,3,87,2019-01-10
