pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,Det,W 109-107,34,11,4,1,2,22,4.36,97.8,-1.4,1,76,2018-12-30
G,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,76,2018-12-30
G,De'Aaron FoxSacPG,@LAL,L 114-121,34,4,7,3,1,26,8.07,97.3,-1.0,1,76,2018-12-30
G,Kent BazemoreAtlSG,,,,,,,,,-0.04,13.7,-1.5,1,76,2018-12-30
F,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,76,2018-12-30
F,"Serge IbakaTorPF, C",Chi,W 95-89,24,7,2,1,2,8,3.34,85.3,-3.2,1,76,2018-12-30
F,"Wendell Carter Jr.OChiPF, C",@Tor,L 89-95,33,11,1,0,0,16,-5.20,48.4,+1.0,1,76,2018-12-30
UTIL,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,76,2018-12-30
UTIL,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,76,2018-12-30
UTIL,JaVale McGeeLALC,Sac,W 121-114,24,12,1,2,1,8,7.27,70.8,-6.5,1,76,2018-12-30
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,1,76,2018-12-30
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,76,2018-12-30
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,1.91,84.4,-1.1,1,76,2018-12-30
C,Andre DrummondDetC,@Orl,L 107-109,25,15,0,0,0,14,18.90,99.7,0.0,2,76,2018-12-30
G,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,76,2018-12-30
G,"Luka DoncicDalSG, PF",OKC,W 105-103,34,3,7,1,0,25,0.92,98.5,-0.2,2,76,2018-12-30
G,"D'Angelo RussellBknPG, SG",,,,,,,,,6.30,98.6,+0.2,2,76,2018-12-30
F,Paul GeorgeDTDOKCSF,@Dal,L 103-105,37,5,0,2,0,36,8.72,99.8,-0.1,2,76,2018-12-30
F,Robert CovingtonOMinSF,@Mia,W 113-104,36,4,0,1,2,16,,25.4,-1.4,2,76,2018-12-30
F,Lauri MarkkanenChiPF,@Tor,L 89-95,39,10,1,2,0,18,,69.4,-1.4,2,76,2018-12-30
UTIL,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,76,2018-12-30
UTIL,Deandre AytonOPhxC,,,,,,,,,-2.35,84.9,-7.1,2,76,2018-12-30
UTIL,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,76,2018-12-30
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,76,2018-12-30
Bench,"Devin BookerOPhxSG, PG",,,,,,,,,1.12,84.7,-14.3,2,76,2018-12-30
Bench,Myles TurnerIndC,,,,,,,,,6.53,88.1,-3.3,2,76,2018-12-30
C,Karl-Anthony TownsMinC,@Mia,W 113-104,37,18,7,3,6,34,5.61,99.8,-0.1,3,76,2018-12-30
G,Russell WestbrookOKCPG,@Dal,L 103-105,38,9,8,6,0,9,15.16,99.9,0.0,3,76,2018-12-30
G,Bradley BealWshSG,,,,,,,,,4.70,98.1,-1.7,3,76,2018-12-30
G,Lonzo BallOLALPG,Sac,W 121-114,31,2,6,0,0,13,,63.0,+0.7,3,76,2018-12-30
F,"LaMarcus AldridgePorPF, C",Phi,W 129-95,,,,,,,6.85,99.7,-0.1,3,76,2018-12-30
F,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,76,2018-12-30
F,"Josh RichardsonOMiaSF, SG",Min,L 104-113,36,4,2,1,1,17,-4.30,65.7,-4.6,3,76,2018-12-30
