pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Empty,,,,,,,,,,,,1,121,2019-02-13
G,Eric BledsoeMilPG,@Ind,W 106-97,21,2,1,0,0,4,3.63,96.5,0.0,1,121,2019-02-13
G,Kris DunnOChiPG,Mem,W 122-110,,,,,,,-5.20,50.8,-1.1,1,121,2019-02-13
G,"D'Angelo RussellBknPG, SG",@Cle,W 148-139,43,7,8,0,0,36,6.30,98.6,+0.2,1,121,2019-02-13
F,"Giannis AntetokounmpoMilPF, SF",@Ind,W 106-97,38,19,11,2,1,33,4.84,99.8,-0.1,1,121,2019-02-13
F,"Nikola JokicDenC, PF",Sac,W 120-118,36,18,11,1,0,20,10.34,99.9,0.0,1,121,2019-02-13
F,PJ TuckerHouSF,@Min,L 111-121,34,8,1,2,0,8,0.81,6.4,-1.6,1,121,2019-02-13
UTIL,De'Aaron FoxSacPG,@Den,L 118-120,32,4,10,0,0,15,8.07,97.3,-1.0,1,121,2019-02-13
UTIL,DeMarcus CousinsGSC,@Por,L 107-129,,,,,,,8.77,90.4,-3.7,1,121,2019-02-13
UTIL,Kelly Oubre Jr.OPhxSF,@LAC,L 107-134,32,5,2,0,0,28,,18.0,-2.7,1,121,2019-02-13
Bench,Nikola VucevicOrlC,,,,,,,,,4.36,97.8,-1.4,1,121,2019-02-13
Bench,"Jerami GrantOKCSF, PF",,,,,,,,,4.03,71.8,+1.9,1,121,2019-02-13
Bench,Clint CapelaDTDHouC,@Min,L 111-121,,,,,,,7.18,96.8,-2.1,1,121,2019-02-13
Bench,"Jonathan IsaacOrlPF, SF",,,,,,,,,2.45,12.7,-5.0,1,121,2019-02-13
C,Empty,,,,,,,,,,,,2,121,2019-02-13
G,Stephen CurryGSPG,@Por,L 107-129,33,7,2,0,0,32,8.07,99.8,-0.1,2,121,2019-02-13
G,"Devin BookerOPhxSG, PG",@LAC,L 107-134,33,6,5,1,1,10,1.12,84.7,-14.3,2,121,2019-02-13
G,Dennis Smith Jr.NYPG,Phi,L 111-126,25,1,5,2,0,13,-1.61,67.0,+1.2,2,121,2019-02-13
F,"Kevin DurantGSSF, PF",@Por,L 107-129,33,4,2,0,3,32,7.33,99.9,0.0,2,121,2019-02-13
F,"Luka DoncicDalSG, PF",Mia,L 101-112,33,12,9,0,0,18,0.92,98.5,-0.2,2,121,2019-02-13
F,Lauri MarkkanenChiPF,Mem,W 122-110,35,10,6,1,0,21,,69.4,-1.4,2,121,2019-02-13
UTIL,Andre DrummondDetC,@Bos,L 110-118,35,17,0,4,0,21,18.90,99.7,0.0,2,121,2019-02-13
UTIL,Myles TurnerIndC,Mil,L 97-106,28,6,2,0,2,11,6.53,88.1,-3.3,2,121,2019-02-13
UTIL,Al HorfordDTDBosC,Det,W 118-110,31,14,8,1,0,17,3.25,89.6,-3.4,2,121,2019-02-13
Bench,Paul GeorgeDTDOKCSF,,,,,,,,,8.72,99.8,-0.1,2,121,2019-02-13
Bench,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,121,2019-02-13
Bench,"Montrezl HarrellLACC, PF",Phx,W 134-107,22,5,4,1,1,19,3.59,89.7,-1.4,2,121,2019-02-13
Bench,"Jaren Jackson Jr.OMemPF, C",@Chi,L 110-122,28,2,0,0,1,12,,38.3,-0.9,2,121,2019-02-13
C,Karl-Anthony TownsMinC,Hou,W 121-111,34,9,5,0,2,25,5.61,99.8,-0.1,3,121,2019-02-13
G,Bradley BealWshSG,@Tor,L 120-129,44,3,11,1,1,28,4.70,98.1,-1.7,3,121,2019-02-13
G,Mike ConleyOMemPG,@Chi,L 110-122,26,2,5,0,0,12,-2.26,87.3,-9.2,3,121,2019-02-13
G,"Josh RichardsonOMiaSF, SG",@Dal,W 112-101,35,3,6,0,1,14,-4.30,65.7,-4.6,3,121,2019-02-13
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,121,2019-02-13
F,"Khris MiddletonMilSF, SG",@Ind,W 106-97,34,6,5,0,0,15,1.81,98.9,+0.5,3,121,2019-02-13
F,"Draymond GreenDTDGSPF, C",@Por,L 107-129,32,5,7,0,3,9,10.19,95.3,-1.2,3,121,2019-02-13
UTIL,Chris PaulHouPG,@Min,L 111-121,35,5,8,1,0,16,7.78,97.8,-1.2,3,121,2019-02-13
UTIL,Brook LopezMilC,@Ind,W 106-97,35,6,1,3,1,9,4.02,64.2,-4.3,3,121,2019-02-13
UTIL,Buddy HieldSacSG,@Den,L 118-120,34,5,3,1,0,25,4.12,95.9,-0.5,3,121,2019-02-13
Bench,Russell WestbrookOKCPG,,,,,,,,,15.16,99.9,0.0,3,121,2019-02-13
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,121,2019-02-13
Bench,Aaron GordonOrlPF,,,,,,,,,5.90,95.8,+0.1,3,121,2019-02-13
C,Joel EmbiidDTDPhiC,@NY,W 126-111,34,14,3,0,1,26,3.83,99.7,0.0,4,121,2019-02-13
G,"James HardenHouSG, PG",@Min,L 111-121,40,5,6,0,0,42,9.59,99.8,-0.1,4,121,2019-02-13
G,Kyle LowryTorPG,Wsh,W 129-120,34,4,13,3,0,14,4.23,97.1,-1.6,4,121,2019-02-13
G,Klay ThompsonGSSG,@Por,L 107-129,32,4,8,0,0,9,1.34,97.9,-1.5,4,121,2019-02-13
F,"Jayson TatumBosSF, PF",Det,W 118-110,34,4,4,2,0,19,1.38,93.8,-4.2,4,121,2019-02-13
F,"Domantas SabonisIndPF, C",Mil,L 97-106,26,9,3,2,0,14,3.36,91.8,-1.5,4,121,2019-02-13
F,"Justise WinslowMiaSF, PG",@Dal,W 112-101,32,11,6,2,0,11,1.09,24.4,+2.4,4,121,2019-02-13
UTIL,Jusuf NurkicOPorC,GS,W 129-107,25,11,1,0,0,11,,65.9,-1.1,4,121,2019-02-13
UTIL,Lou WilliamsLACSG,Phx,W 134-107,22,1,10,0,0,30,2.44,95.9,-0.9,4,121,2019-02-13
UTIL,Deandre AytonOPhxC,@LAC,L 107-134,29,8,2,0,0,20,-2.35,84.9,-7.1,4,121,2019-02-13
Bench,"DeMar DeRozanSASG, SF",,,,,,,,,5.87,99.7,-0.1,4,121,2019-02-13
Bench,Steven AdamsOKCC,,,,,,,,,6.44,95.7,+0.3,4,121,2019-02-13
Bench,Rajon RondoLALPG,,,,,,,,,6.19,45.0,-13.6,4,121,2019-02-13
C,Willie Cauley-SteinSacC,@Den,L 118-120,22,7,3,5,0,8,2.06,87.7,-1.8,5,121,2019-02-13
G,Damian LillardPorPG,GS,W 129-107,32,3,8,0,0,29,7.24,99.8,-0.1,5,121,2019-02-13
G,Kyrie IrvingBosPG,Det,W 118-110,,,,,,,2.31,96.0,-3.5,5,121,2019-02-13
G,Zach LaVineOChiSG,Mem,W 122-110,34,6,7,0,0,15,,80.6,-4.6,5,121,2019-02-13
F,Kawhi LeonardTorSF,Wsh,W 129-120,,,,,,,1.20,98.8,-0.6,5,121,2019-02-13
F,"Kyle KuzmaOLALPF, SF",,,,,,,,,-3.39,84.4,-7.3,5,121,2019-02-13
F,"Kevin LoveClePF, C",Bkn,L 139-148,,,,,,,-3.61,82.2,-9.3,5,121,2019-02-13
UTIL,"Donovan MitchellDTDUtahSG, PG",,,,,,,,,6.01,98.5,-0.5,5,121,2019-02-13
UTIL,Hassan WhitesideMiaC,@Dal,W 112-101,22,8,0,1,0,6,4.61,91.6,+1.7,5,121,2019-02-13
UTIL,Marc GasolTorC,Wsh,W 129-120,19,7,2,2,2,7,3.00,94.0,-1.5,5,121,2019-02-13
Bench,"Anthony DavisONOPF, C",,,,,,,,,-5.20,91.0,-6.3,5,121,2019-02-13
Bench,Trae YoungAtlPG,,,,,,,,,6.33,97.0,-0.6,5,121,2019-02-13
Bench,John CollinsAtlPF,,,,,,,,,3.81,95.9,-1.3,5,121,2019-02-13
C,Enes KanterPorC,GS,W 129-107,,,,,,,6.60,92.0,+2.7,6,121,2019-02-13
G,"Jimmy ButlerPhiSG, SF",@NY,W 126-111,34,7,8,3,2,13,-0.19,97.7,-1.7,6,121,2019-02-13
G,CJ McCollumPorSG,GS,W 129-107,26,3,2,0,0,15,-3.19,89.1,+4.0,6,121,2019-02-13
G,"Jamal MurrayDenPG, SG",Sac,W 120-118,31,2,4,0,0,10,7.01,95.6,-0.1,6,121,2019-02-13
F,"LeBron JamesOLALSF, PF",,,,,,,,,-3.82,85.5,-2.8,6,121,2019-02-13
F,"Ben SimmonsDTDPhiPG, SF",@NY,W 126-111,34,4,7,1,1,18,8.18,98.4,-1.4,6,121,2019-02-13
F,Blake GriffinDTDDetPF,@Bos,L 110-118,37,8,5,0,0,32,0.18,97.2,-1.3,6,121,2019-02-13
UTIL,DeAndre JordanNYC,Phi,L 111-126,20,5,7,0,0,12,-4.50,86.6,-3.8,6,121,2019-02-13
UTIL,"Andrew WigginsMinSF, SG",Hou,W 121-111,,,,,,,5.65,92.1,+1.6,6,121,2019-02-13
UTIL,"Nicolas BatumChaSG, SF",,,,,,,,,-2.03,64.4,+0.4,6,121,2019-02-13
Bench,"Jrue HolidayONOPG, SG",,,,,,,,,,75.9,-1.0,6,121,2019-02-13
Bench,"Julius RandleNOPF, C",,,,,,,,,1.38,95.3,-3.6,6,121,2019-02-13
Bench,"Tobias HarrisPhiPF, SF",@NY,W 126-111,35,6,3,0,1,25,2.47,97.4,-2.0,6,121,2019-02-13
