pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,"Nikola JokicDenC, PF",SA,W 102-99,37,9,9,0,0,21,10.34,99.9,0.0,1,74,2018-12-28
G,John WallOWshPG,Chi,L 92-101,,,,,,,,55.3,+2.2,1,74,2018-12-28
G,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,74,2018-12-28
G,Kent BazemoreAtlSG,@Min,W 123-120,33,5,4,2,0,23,-0.04,13.7,-1.5,1,74,2018-12-28
F,John CollinsAtlPF,@Min,W 123-120,39,10,4,0,0,21,3.81,95.9,-1.3,1,74,2018-12-28
F,"Serge IbakaTorPF, C",@Orl,L 87-116,32,8,3,0,4,17,3.34,85.3,-3.2,1,74,2018-12-28
F,"Wendell Carter Jr.OChiPF, C",@Wsh,W 101-92,33,13,2,1,3,17,-5.20,48.4,+1.0,1,74,2018-12-28
UTIL,"Giannis AntetokounmpoMilPF, SF",,,,,,,,,4.84,99.8,-0.1,1,74,2018-12-28
UTIL,Nikola VucevicOrlC,Tor,W 116-87,33,19,8,2,1,30,4.36,97.8,-1.4,1,74,2018-12-28
UTIL,JaVale McGeeLALC,LAC,L 107-118,,,,,,,7.27,70.8,-6.5,1,74,2018-12-28
Bench,Ricky RubioOUtahPG,,,,,,,,,-0.97,80.4,-4.9,1,74,2018-12-28
Bench,Eric BledsoeMilPG,,,,,,,,,3.63,96.5,0.0,1,74,2018-12-28
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,74,2018-12-28
C,Andre DrummondDetC,@Ind,L 88-125,26,12,0,1,3,12,18.90,99.7,0.0,2,74,2018-12-28
G,Kemba WalkerChaPG,Bkn,W 100-87,36,4,3,1,2,29,7.08,99.9,0.0,2,74,2018-12-28
G,"Devin BookerOPhxSG, PG",OKC,L 102-118,33,7,10,3,0,25,1.12,84.7,-14.3,2,74,2018-12-28
G,"D'Angelo RussellBknPG, SG",@Cha,L 87-100,34,4,2,0,1,33,6.30,98.6,+0.2,2,74,2018-12-28
F,"Luka DoncicDalSG, PF",@NO,L 112-114,34,2,3,0,0,34,0.92,98.5,-0.2,2,74,2018-12-28
F,Robert CovingtonOMinSF,Atl,L 120-123,45,7,4,1,3,28,,25.4,-1.4,2,74,2018-12-28
F,Lauri MarkkanenChiPF,@Wsh,W 101-92,29,14,0,0,1,14,,69.4,-1.4,2,74,2018-12-28
UTIL,Paul GeorgeDTDOKCSF,@Phx,W 118-102,,,,,,,8.72,99.8,-0.1,2,74,2018-12-28
UTIL,Deandre AytonOPhxC,OKC,L 102-118,32,9,1,3,0,16,-2.35,84.9,-7.1,2,74,2018-12-28
UTIL,Myles TurnerIndC,Det,W 125-88,25,2,2,2,3,17,6.53,88.1,-3.3,2,74,2018-12-28
Bench,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,74,2018-12-28
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,74,2018-12-28
Bench,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,74,2018-12-28
C,Karl-Anthony TownsMinC,Atl,L 120-123,43,19,5,1,3,31,5.61,99.8,-0.1,3,74,2018-12-28
G,Russell WestbrookOKCPG,@Phx,W 118-102,39,12,8,0,0,40,15.16,99.9,0.0,3,74,2018-12-28
G,Bradley BealWshSG,Chi,L 92-101,38,7,5,2,0,34,4.70,98.1,-1.7,3,74,2018-12-28
G,Lonzo BallOLALPG,LAC,L 107-118,43,5,6,1,0,19,,63.0,+0.7,3,74,2018-12-28
F,"LaMarcus AldridgePorPF, C",,,38,7,3,3,0,24,6.85,99.7,-0.1,3,74,2018-12-28
F,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,74,2018-12-28
F,"Josh RichardsonOMiaSF, SG",Cle,W 118-94,33,1,5,2,1,16,-4.30,65.7,-4.6,3,74,2018-12-28
UTIL,"Khris MiddletonMilSF, SG",,,,,,,,,1.81,98.9,+0.5,3,74,2018-12-28
UTIL,Aaron GordonOrlPF,Tor,W 116-87,35,10,4,0,0,9,5.90,95.8,+0.1,3,74,2018-12-28
UTIL,Brook LopezMilC,,,,,,,,,4.02,64.2,-4.3,3,74,2018-12-28
Bench,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,74,2018-12-28
Bench,Rudy GobertDTDUtahC,,,,,,,,,11.36,97.7,-1.2,3,74,2018-12-28
Bench,Mike ConleyOMemPG,,,,,,,,,-2.26,87.3,-9.2,3,74,2018-12-28
C,Jarrett AllenBknC,@Cha,L 87-100,17,10,0,1,2,8,2.16,81.5,+1.5,4,74,2018-12-28
G,"James HardenHouSG, PG",,,,,,,,,9.59,99.8,-0.1,4,74,2018-12-28
G,Victor OladipoOIndSG,Det,W 125-88,26,5,7,2,0,7,,53.3,+2.0,4,74,2018-12-28
G,Kyle LowryTorPG,@Orl,L 87-116,,,,,,,4.23,97.1,-1.6,4,74,2018-12-28
F,"DeMar DeRozanSASG, SF",@Den,L 99-102,38,5,5,1,0,15,5.87,99.7,-0.1,4,74,2018-12-28
F,"Jayson TatumBosSF, PF",,,,,,,,,1.38,93.8,-4.2,4,74,2018-12-28
F,"Domantas SabonisIndPF, C",Det,W 125-88,26,11,3,0,1,19,3.36,91.8,-1.5,4,74,2018-12-28
UTIL,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,74,2018-12-28
UTIL,Steven AdamsOKCC,@Phx,W 118-102,35,13,3,3,0,12,6.44,95.7,+0.3,4,74,2018-12-28
UTIL,Jusuf NurkicOPorC,,,,,,,,,,65.9,-1.1,4,74,2018-12-28
Bench,Paul MillsapDenPF,SA,W 102-99,,,,,,,2.58,88.4,-2.0,4,74,2018-12-28
Bench,Jeff TeagueOMinPG,Atl,L 120-123,,,,,,,,56.1,-0.5,4,74,2018-12-28
Bench,"Marcus SmartOBosSG, PG",,,,,,,,,1.87,17.3,-3.9,4,74,2018-12-28
C,Willie Cauley-SteinSacC,,,,,,,,,2.06,87.7,-1.8,5,74,2018-12-28
G,Kyrie IrvingBosPG,,,,,,,,,2.31,96.0,-3.5,5,74,2018-12-28
G,"Donovan MitchellDTDUtahSG, PG",,,,,,,,,6.01,98.5,-0.5,5,74,2018-12-28
G,Trae YoungAtlPG,@Min,W 123-120,30,4,11,1,0,16,6.33,97.0,-0.6,5,74,2018-12-28
F,"Anthony DavisONOPF, C",Dal,W 114-112,43,17,4,2,2,48,-5.20,91.0,-6.3,5,74,2018-12-28
F,"Kyle KuzmaOLALPF, SF",LAC,L 107-118,42,9,5,1,0,24,-3.39,84.4,-7.3,5,74,2018-12-28
F,Harrison BarnesSacPF,,,35,5,1,2,0,21,0.36,84.9,-0.7,5,74,2018-12-28
UTIL,Kawhi LeonardTorSF,@Orl,L 87-116,29,6,1,0,1,21,1.20,98.8,-0.6,5,74,2018-12-28
UTIL,Hassan WhitesideMiaC,Cle,W 118-94,18,4,1,0,2,12,4.61,91.6,+1.7,5,74,2018-12-28
