pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
C,Nikola JokicDenC,,,,,,,,,6.75,99.7,-0.1,1,44,2018-11-28
G,John WallWshPG,@No,L 104-125,26,5,7,0,0,17,8.87,99.4,-0.1,1,44,2018-11-28
G,Ricky RubioUtahPG,@Bkn,W 101-91,32,3,4,0,0,6,6.65,87.6,-0.1,1,44,2018-11-28
G,Eric BledsoeMilPG,Chi,W 116-113,29,6,4,1,1,7,6.94,83.9,-0.6,1,44,2018-11-28
F,"Giannis AntetokounmpoMilPF, SF",Chi,W 116-113,34,11,8,2,1,36,13.50,99.9,0.0,1,44,2018-11-28
F,John CollinsAtlPF,@Cha,L 94-108,31,10,4,1,0,9,1.62,88.0,+3.5,1,44,2018-11-28
F,"Wendell Carter Jr.ChiPF, C",@Mil,L 113-116,24,7,3,0,0,6,2.51,68.8,-3.1,1,44,2018-11-28
UTIL,Nikola VucevicOrlC,@Por,L 112-115,29,8,7,0,2,20,9.63,89.0,+0.9,1,44,2018-11-28
UTIL,Nikola MiroticNoPF,Wsh,W 125-104,28,9,2,2,1,15,6.28,79.2,-0.5,1,44,2018-11-28
UTIL,JaVale McGeeLALC,,,,,,,,,4.89,34.6,-6.3,1,44,2018-11-28
Bench,"Serge IbakaTorPF, C",,,,,,,,,4.26,65.7,-5.9,1,44,2018-11-28
Bench,De'Aaron FoxSacPG,,,,,,,,,3.30,84.6,-3.2,1,44,2018-11-28
Bench,"Gordon HaywardBosSF, SG",,,,,,,,,4.40,91.8,-0.9,1,44,2018-11-28
C,Deandre AytonPhxC,@LAC,L 99-115,30,9,0,2,3,4,5.89,95.9,+0.3,2,44,2018-11-28
G,Kemba WalkerChaPG,Atl,W 108-94,34,4,3,4,1,19,8.05,99.8,+0.1,2,44,2018-11-28
G,"Devin BookerPhxSG, PG",@LAC,L 99-115,35,4,4,1,0,23,7.52,99.3,+0.4,2,44,2018-11-28
G,"Luka DoncicDalSG, PF",@Hou,W 128-108,24,6,2,1,0,20,3.46,94.7,-0.5,2,44,2018-11-28
F,"Kevin DurantGSSF, PF",,,,,,,,,9.83,99.9,0.0,2,44,2018-11-28
F,Paul GeorgeOKCSF,Cle,W 100-83,25,4,4,0,2,18,8.82,99.7,-0.1,2,44,2018-11-28
F,Robert CovingtonMinSF,SA,W 128-89,31,9,1,1,1,21,7.59,27.6,-3.5,2,44,2018-11-28
UTIL,Andre DrummondDetC,,,,,,,,,7.16,99.6,0.0,2,44,2018-11-28
UTIL,Klay ThompsonGSSG,,,,,,,,,3.13,96.0,-0.1,2,44,2018-11-28
UTIL,Myles TurnerIndC,,,,,,,,,6.23,73.9,-0.1,2,44,2018-11-28
Bench,Stephen CurryOGSPG,,,,,,,,,-4.02,99.8,-0.1,2,44,2018-11-28
Bench,Gary HarrisDTDDenSG,,,,,,,,,0.74,62.7,-7.9,2,44,2018-11-28
Bench,Lauri MarkkanenOChiPF,@Mil,L 113-116,,,,,,,-4.67,71.7,+0.5,2,44,2018-11-28
C,Karl-Anthony TownsMinC,SA,W 128-89,28,11,5,2,1,16,7.44,99.8,-0.1,3,44,2018-11-28
