pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
G,Goran DragicOMiaPG,,,,,,,,,-3.11,84.6,-2.1,5,42,2018-11-26
F,"Anthony DavisNoPF, C",Bos,L 107-124,37,16,5,3,3,27,14.17,99.9,0.0,5,42,2018-11-26
F,Kawhi LeonardTorSF,,,,,,,,,6.45,99.7,-0.1,5,42,2018-11-26
F,"Domantas SabonisIndPF, C",@Utah,W 121-88,23,10,6,1,1,13,5.87,72.4,+1.8,5,42,2018-11-26
UTIL,Clint CapelaHouC,@Wsh,L 131-135,38,14,2,0,4,17,10.13,98.3,+0.1,5,42,2018-11-26
UTIL,Hassan WhitesideMiaC,,,,,,,,,7.64,83.7,-2.9,5,42,2018-11-26
UTIL,Al HorfordBosC,@No,W 124-107,32,4,3,3,1,20,6.15,85.6,-0.3,5,42,2018-11-26
Bench,Damian LillardPorPG,,,,,,,,,6.72,99.8,-0.1,5,42,2018-11-26
Bench,Trae YoungAtlPG,,,,,,,,,5.40,82.1,-3.2,5,42,2018-11-26
Bench,Lou WilliamsLACSG,,,,,,,,,0.83,94.0,-0.6,5,42,2018-11-26
C,Enes KanterNYC,,,,,,,,,6.33,88.9,+0.3,6,42,2018-11-26
G,"Jimmy ButlerPhiSG, SF",,,,,,,,,6.24,99.7,0.0,6,42,2018-11-26
G,CJ McCollumPorSG,,,,,,,,,2.48,98.3,-0.4,6,42,2018-11-26
G,Jamal MurrayDenPG,,,,,,,,,5.79,83.5,-1.0,6,42,2018-11-26
F,"LeBron JamesLALSF, PF",,,,,,,,,9.90,99.9,-0.1,6,42,2018-11-26
F,"Ben SimmonsPhiPG, SF",,,,,,,,,8.64,99.6,-0.1,6,42,2018-11-26
F,Blake GriffinDetPF,,,,,,,,,5.20,99.4,-0.1,6,42,2018-11-26
UTIL,DeAndre JordanDalC,,,,,,,,,2.18,97.9,-0.3,6,42,2018-11-26
UTIL,"Andrew WigginsMinSF, SG",@Cle,W 102-95,28,3,3,2,2,11,2.99,83.3,-4.5,6,42,2018-11-26
UTIL,"Nicolas BatumChaSG, SF",Mil,W 110-107,34,3,2,1,0,7,0.76,66.9,+0.8,6,42,2018-11-26
Bench,"Jrue HolidayNoPG, SG",Bos,L 107-124,37,6,7,3,1,13,11.51,99.0,-0.1,6,42,2018-11-26
Bench,"Julius RandleNoPF, C",Bos,L 107-124,21,5,2,1,1,15,6.66,97.2,+1.0,6,42,2018-11-26
Bench,Tobias HarrisLACPF,,,,,,,,,3.08,94.5,+0.4,6,42,2018-11-26
