team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,1180,713,187,146,2423,150,5,2018-11-14
French Fries,1128,650,172,171,2836,160,5,2018-11-14
Chicago Mac Attack,1094,590,173,130,2843,154,5,2018-11-14
Paul George Michael Bluth,1053,595,169,118,3150,155,2,2018-11-14
Crimetown Chum Bloods,1056,628,156,124,2732,146,12,2018-11-14
Team Steege,1093,581,159,92,2505,141,0,2018-11-14
