team,rebounds,assists,steals,blocks,points,games_played,moves,date
French Fries,1760,987,277,271,4512,244,14,2018-11-29
New New York Atomic Supermen,1774,1127,282,233,3930,241,10,2018-11-29
Paul George Michael Bluth,1555,845,256,201,4716,226,6,2018-11-29
Chicago Mac Attack,1653,929,236,187,4150,227,11,2018-11-29
Crimetown Chum Bloods,1551,961,245,182,4081,219,28,2018-11-29
Team Steege,1552,851,222,132,3693,208,0,2018-11-29
