team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,961,616,146,121,1985,123,5,2018-11-09
Chicago Mac Attack,887,509,136,110,2354,128,5,2018-11-09
French Fries,900,504,135,140,2278,128,5,2018-11-09
Crimetown Chum Bloods,867,521,135,108,2297,122,9,2018-11-09
Team Steege,917,502,139,79,2132,118,0,2018-11-09
Paul George Michael Bluth,859,482,131,101,2626,128,2,2018-11-09
