team,rebounds,assists,steals,blocks,points,games_played,moves,date
French Fries,1143,658,174,171,2875,163,5,2018-11-15
New New York Atomic Supermen,1194,725,192,147,2435,152,5,2018-11-15
Chicago Mac Attack,1115,598,178,134,2863,156,5,2018-11-15
Paul George Michael Bluth,1064,601,169,123,3198,158,2,2018-11-15
Crimetown Chum Bloods,1074,641,165,127,2811,149,12,2018-11-15
Team Steege,1097,586,159,93,2519,142,0,2018-11-15
