team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,1007,636,155,130,2092,129,5,2018-11-10
French Fries,970,536,142,148,2373,135,5,2018-11-10
Chicago Mac Attack,925,530,147,114,2482,135,5,2018-11-10
Crimetown Chum Bloods,924,543,138,111,2389,129,11,2018-11-10
Paul George Michael Bluth,913,516,142,103,2763,135,2,2018-11-10
Team Steege,963,512,140,81,2196,122,0,2018-11-10
