team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,759,514,125,100,1631,100,5,2018-11-04
Chicago Mac Attack,718,404,114,88,1952,104,5,2018-11-04
French Fries,703,378,112,104,1770,100,4,2018-11-04
Crimetown Chum Bloods,693,420,97,78,1853,99,7,2018-11-04
Team Steege,745,385,113,62,1715,96,0,2018-11-04
Paul George Michael Bluth,655,377,94,74,2083,98,2,2018-11-04
