team,rebounds,assists,steals,blocks,points,games_played,moves,date
French Fries,1229,692,189,179,3103,173,5,2018-11-16
New New York Atomic Supermen,1242,766,205,155,2595,161,5,2018-11-16
Chicago Mac Attack,1158,620,182,138,2966,162,5,2018-11-16
Crimetown Chum Bloods,1114,669,173,134,2920,156,12,2018-11-16
Paul George Michael Bluth,1088,606,171,127,3235,160,2,2018-11-16
Team Steege,1119,607,166,95,2606,147,0,2018-11-16
