team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,900,581,139,114,1841,117,5,2018-11-07
Chicago Mac Attack,828,466,123,103,2187,119,5,2018-11-07
French Fries,839,460,126,126,2082,118,5,2018-11-07
Team Steege,882,463,130,76,2047,112,0,2018-11-07
Crimetown Chum Bloods,793,484,118,95,2119,113,7,2018-11-07
Paul George Michael Bluth,788,433,119,86,2419,116,2,2018-11-07
