team,rebounds,assists,steals,blocks,points,games_played,moves,date
French Fries,1275,725,198,187,3255,181,5,2018-11-17
New New York Atomic Supermen,1299,788,216,164,2769,171,5,2018-11-17
Chicago Mac Attack,1189,639,189,142,3022,167,5,2018-11-17
Crimetown Chum Bloods,1167,694,181,138,3064,164,12,2018-11-17
Paul George Michael Bluth,1149,642,182,135,3476,169,2,2018-11-17
Team Steege,1150,637,172,101,2690,153,0,2018-11-17
