team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,820,537,129,105,1705,107,5,2018-11-05
Chicago Mac Attack,761,438,117,90,2032,110,5,2018-11-05
French Fries,757,410,117,109,1899,108,4,2018-11-05
Crimetown Chum Bloods,726,445,106,83,1972,105,7,2018-11-05
Team Steege,799,410,117,65,1843,101,0,2018-11-05
Paul George Michael Bluth,705,407,106,79,2219,105,2,2018-11-05
