team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,913,591,142,116,1891,119,5,2018-11-08
French Fries,865,483,131,133,2190,123,5,2018-11-08
Chicago Mac Attack,837,479,132,104,2222,122,5,2018-11-08
Crimetown Chum Bloods,829,496,124,99,2177,117,9,2018-11-08
Paul George Michael Bluth,821,467,129,90,2542,122,2,2018-11-08
Team Steege,889,465,130,76,2070,113,0,2018-11-08
