team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,835,560,132,106,1757,110,5,2018-11-06
Chicago Mac Attack,775,448,118,92,2073,112,5,2018-11-06
French Fries,766,423,117,110,1930,110,4,2018-11-06
Crimetown Chum Bloods,748,457,108,86,2020,108,7,2018-11-06
Team Steege,821,423,121,66,1901,104,0,2018-11-06
Paul George Michael Bluth,746,424,111,81,2314,110,2,2018-11-06
