team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,1053,655,163,137,2175,134,5,2018-11-11
French Fries,994,570,150,152,2461,140,5,2018-11-11
Chicago Mac Attack,943,538,152,114,2547,138,5,2018-11-11
Crimetown Chum Bloods,966,562,141,114,2496,133,11,2018-11-11
Paul George Michael Bluth,941,528,145,108,2819,138,2,2018-11-11
Team Steege,1006,528,146,84,2281,128,0,2018-11-11
