team,rebounds,assists,steals,blocks,points,games_played,moves,date
New New York Atomic Supermen,1122,682,172,140,2270,141,5,2018-11-13
French Fries,1062,612,161,160,2641,150,5,2018-11-13
Chicago Mac Attack,1033,569,165,126,2730,147,5,2018-11-13
Paul George Michael Bluth,1005,571,162,115,3051,149,2,2018-11-13
Crimetown Chum Bloods,1005,601,150,117,2621,140,11,2018-11-13
Team Steege,1041,548,149,85,2339,133,0,2018-11-13
